ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.B100.vs.Ctrl.micro.logFC	LPS100.B100.vs.Ctrl.micro.p.value
ENSOARG00000010483	101115377	UTP23	UTP23, small subunit processome component	0.639205081733385	0.0337246240623788
ENSOARG00000010492	101114873	CD164	CD164 molecule	1.46050615826068	0.011367949696148
ENSOARG00000010494	101117473	NUDT18	nudix hydrolase 18	-0.665146109417992	0.0471965178352891
ENSOARG00000010501				-0.944878309400685	0.00522181082009863
ENSOARG00000010503				-1.32567083103504	0.00135883626696231
ENSOARG00000010507	101110292	RABGEF1	RAB guanine nucleotide exchange factor 1	1.39182465742284	0.000725131497385686
ENSOARG00000010508	101115040	DECR1	2,4-dienoyl-CoA reductase 1	-0.69704125432637	0.0211054362257386
ENSOARG00000010519	101107748	OLFML2B	olfactomedin like 2B	2.74814950410822	5.76599810437476e-05
ENSOARG00000010523	780486	JAG1	jagged 1	2.35094793588055	0.00100423426663211
ENSOARG00000010535	101107095		ceramide synthase 1	-1.36238730485367	0.0112266426369127
ENSOARG00000010546	101105343	MTMR4	myotubularin related protein 4	2.72267895043102	0.00031344722468257
ENSOARG00000010552	100302315	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1	-1.38278595270495	0.00859193048604747
ENSOARG00000010566	101115236	LOC101115236	uncharacterized protein C3orf18-like	-0.667729634302944	0.0256899061249954
ENSOARG00000010572				0.822065638435042	0.0237200781731458
ENSOARG00000010574	101102920	WFDC1	WAP four-disulfide core domain 1	-0.674190953847499	0.0388890521065383
ENSOARG00000010578	101116258	MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5	0.761111576375272	0.0131551665515075
ENSOARG00000010589	101111909	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	0.720884948139116	0.0216232311513223
ENSOARG00000010622	101103885	YIPF4	Yip1 domain family member 4	0.603004638952104	0.0472876081384796
ENSOARG00000010623	101118175	TSPAN11	tetraspanin-11	-0.881056990389337	0.0022993414135573
ENSOARG00000010626	101109893	GRB2	growth factor receptor bound protein 2	1.33079265045683	0.001535558965548
ENSOARG00000010628	101116749	TMEM206	transmembrane protein 206	-1.39088592391582	0.002861894694798
ENSOARG00000010629	101116176	POLE	DNA polymerase epsilon, catalytic subunit	-1.22747509151976	0.0224589671456535
ENSOARG00000010642	101119877	GFRA2	GDNF family receptor alpha 2	-0.702320822007088	0.0305285636661351
ENSOARG00000010645	101121358	ZNF207	zinc finger protein 207	0.870685014526821	0.0252449377464925
ENSOARG00000010681	494439	ATP6V1B2	ATPase H+ transporting V1 subunit B2	-0.736190659622713	0.0322875068585249
ENSOARG00000010684	101109666	SNN	stannin	2.031952681175	7.16699232681258e-05
ENSOARG00000010687	101120377	MPG	N-methylpurine DNA glycosylase	-1.44434845673326	0.00435858364362526
ENSOARG00000010697	101108399	RFC3	replication factor C subunit 3	-0.597793878253928	0.0449167546288106
ENSOARG00000010700		MSANTD2	Myb/SANT DNA binding domain containing 2	1.40382563756373	0.000407771889718876
ENSOARG00000010719	443408	LPL	lipoprotein lipase	-0.818664527655347	0.0470041245388543
ENSOARG00000010720				-0.800919639678616	0.0046763142471234
ENSOARG00000010721	101105746	RNASEH2A	ribonuclease H2 subunit A	-1.06746610444712	0.0232782338323886
ENSOARG00000010723	101113150	WDR19	WD repeat domain 19	-1.28186765378856	0.00232476805144158
ENSOARG00000010725	101119834	GOSR2	golgi SNAP receptor complex member 2	0.612485715086033	0.0228830516348579
ENSOARG00000010728	101120863	ZCCHC8	zinc finger CCHC-type containing 8	0.66999397746483	0.0387511104919717
ENSOARG00000010744	101109055	UHMK1	U2AF homology motif kinase 1	0.732039274212409	0.0237004048615484
ENSOARG00000010746	101112637	PMEL	premelanosome protein	-0.893574639062025	0.0230316948026369
ENSOARG00000010749		NPRL3	NPR3 like, GATOR1 complex subunit	-0.681422544478789	0.0102143443452038
ENSOARG00000010759	101117264	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha	-1.04184928480115	0.0057181679224556
ENSOARG00000010760	101119171	ATG2A	autophagy related 2A	-0.828048211132656	0.00532728779308467
ENSOARG00000010764	101118248	HCCS	cytochrome c-type heme lyase	1.38522553794766	0.00166726519830517
ENSOARG00000010765	101109315	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1	0.881348147939968	0.0245882059569043
ENSOARG00000010772				0.788994091060431	0.00968869548211281
ENSOARG00000010779	101122492	ZNF768	zinc finger protein 768	-1.20468756994761	0.000467713626785592
ENSOARG00000010784	100302549	SLC1A5	solute carrier family 1 member 5	1.17282807760913	0.00506062349242388
ENSOARG00000010803	101115286	NBN	nibrin	0.589230053264715	0.0448776624377193
ENSOARG00000010816	101112277	CASTOR2	cytosolic arginine sensor for mTORC1 subunit 2	-2.00723847720021	0.00105398965648967
ENSOARG00000010832	101104158	TBC1D31	TBC1 domain family member 31	-0.61535603579155	0.0406424348695552
ENSOARG00000010836	101108737	DNM1	dynamin 1	-1.72960829730755	0.0098376490714564
ENSOARG00000010838	101113224	DGKA	diacylglycerol kinase alpha	-1.10899586337759	0.000793908663434944
ENSOARG00000010844	101106890	VARS2	valyl-tRNA synthetase 2, mitochondrial	-1.11546344843898	0.00166814616697178
ENSOARG00000010847		UBTD1	ubiquitin domain containing 1	-1.81660953885831	6.56522161494687e-05
ENSOARG00000010848	101117512	NR2E1	nuclear receptor subfamily 2 group E member 1	-2.42170762962672	0.000807501906029798
ENSOARG00000010853	101123459		mediator of cell motility 1	1.73625470924934	0.000953474708263361
ENSOARG00000010884	101103540	RBMX	RNA binding motif protein X-linked	0.874622043925375	0.0117818949584639
ENSOARG00000010890	101112240	PDPN	podoplanin	2.52533198195326	0.000675353595062053
ENSOARG00000010897	101102077	SELL	selectin L	1.17158232367	0.035587429894324
ENSOARG00000010901	101103171	MEAK7	MTOR associated protein, eak-7 homolog	-1.31195831606656	0.00395034630354786
ENSOARG00000010904	101116936	BICDL1	BICD family like cargo adaptor 1	-1.17283371546748	0.00930249410680776
ENSOARG00000010908	101122251	ERP44	endoplasmic reticulum protein 44	0.734846245217895	0.0263789850252354
ENSOARG00000010919	101122499	STX17	syntaxin 17	1.04968092608142	0.00271551262924193
ENSOARG00000010925	101103415	COTL1	coactosin like F-actin binding protein 1	-0.903862713131413	0.0123372066617825
ENSOARG00000010931	101112332	GOSR1	golgi SNAP receptor complex member 1	0.860977757277777	0.00513703767209686
ENSOARG00000010943	101113485	MMP19	matrix metallopeptidase 19	-1.15842168337374	0.00443146852560592
ENSOARG00000010947	101120344	NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase	-0.773956830567918	0.0305263096448036
ENSOARG00000010952	101104043	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6	1.85064773644493	0.00127430812097565
ENSOARG00000010956	101118743	POLD4	DNA polymerase delta 4, accessory subunit	-1.2513072593514	0.00454214265032668
ENSOARG00000010960	101101953	ALG2	ALG2, alpha-1,3/1,6-mannosyltransferase	1.33899062998549	0.00127430812097565
ENSOARG00000010979	101118432	RHNO1	RAD9-HUS1-RAD1 interacting nuclear orphan 1	-1.36856509791233	0.00470701108051829
ENSOARG00000010994	101116826	POLR2E	RNA polymerase II subunit E	-0.916270063852728	0.002861894694798
ENSOARG00000010995				-0.984834885663536	0.00745642098278154
ENSOARG00000011008		RAB35	RAB35, member RAS oncogene family	-0.776308363357397	0.018621098656924
ENSOARG00000011019	101108788	CLCF1	cardiotrophin like cytokine factor 1	1.60264326487509	0.00332214012906621
ENSOARG00000011029	101109715	N4BP2L1	NEDD4 binding protein 2 like 1	-1.59515942101193	0.00334489364801053
ENSOARG00000011041	101110708	ELL3	elongation factor for RNA polymerase II 3	1.87449304940532	0.000628788235750984
ENSOARG00000011045	101103047	GALNT12	polypeptide N-acetylgalactosaminyltransferase 12	-1.75350844954522	0.00196848507491889
ENSOARG00000011046	780489	NCF1	neutrophil cytosolic factor 1	1.67715074753591	0.000361297486006261
ENSOARG00000011049	101101915	DHX34	DExH-box helicase 34	-1.20401756118297	0.00140614865630801
ENSOARG00000011060				-0.910434400468686	0.0177472344608278
ENSOARG00000011069	101106050	PKNOX1	PBX/knotted 1 homeobox 1	1.20416863215489	0.00212880127604996
ENSOARG00000011090	101110692	TRDMT1	tRNA aspartic acid methyltransferase 1	0.605770691476187	0.0416496413917381
ENSOARG00000011093	101115415	PI4K2A	phosphatidylinositol 4-kinase type 2 alpha	-0.926420527788451	0.00238510139653863
ENSOARG00000011120	101114181	DNAJC14	DnaJ heat shock protein family (Hsp40) member C14	0.488656488971749	0.0464858802844166
ENSOARG00000011127	101112010	KIF13A	kinesin family member 13A	-1.41024166421978	0.0142871657404069
ENSOARG00000011128	101106301	CBS	cystathionine-beta-synthase	1.2005184130734	0.0176327182105522
ENSOARG00000011131	101103791		tripartite motif containing 14	1.24209947250891	0.00639031828174111
ENSOARG00000011132	101120500	RTN4IP1	reticulon 4 interacting protein 1	-0.975578681786129	0.0128943781635865
ENSOARG00000011134	101114692	ORMDL2	ORMDL sphingolipid biosynthesis regulator 2	-0.596579938825112	0.0413958518683026
ENSOARG00000011158	101110781	ESF1	ESF1 nucleolar pre-rRNA processing protein homolog	0.925378924655082	0.00488780860362092
ENSOARG00000011166	100145878	BLOC1S4	biogenesis of lysosomal organelles complex 1 subunit 4	-0.867986222995811	0.0171957741572636
ENSOARG00000011179	101109980	BRCA2	BRCA2, DNA repair associated	-1.11750446567344	0.00958139612313609
ENSOARG00000011181				-2.15214246415718	0.0111419676818995
ENSOARG00000011185	101115666	AVPI1	arginine vasopressin induced 1	-2.8525797533362	1.65753474265269e-05
ENSOARG00000011187	101106757	ADD2	adducin 2	-1.76720428062581	0.0324410805659758
ENSOARG00000011189	101110805	NUF2	NDC80 kinetochore complex component NUF2	-1.4783622484472	0.00307729732681811
ENSOARG00000011191	101101996	OGFRL1	opioid growth factor receptor like 1	2.19875735748779	3.23206658485763e-05
ENSOARG00000011198	101109320		family with sequence similarity 234 member A	-0.767394828346806	0.00757107326521778
ENSOARG00000011206	101105167	SPIDR	scaffold protein involved in DNA repair	-1.74064018945944	0.000279198873779713
ENSOARG00000011211	101109528	PIP5KL1	phosphatidylinositol-4-phosphate 5-kinase like 1	-1.44798630719889	0.0187847937111597
ENSOARG00000011216	101102417	KPTN	kaptin, actin binding protein	-0.698485026878926	0.040103681093743
ENSOARG00000011230	101120509	THAP3	THAP domain containing 3	-0.715171779286204	0.0269257803580996
ENSOARG00000011232	101104418	KIAA0513	KIAA0513 ortholog	-1.68293470657503	0.00482038872688442
ENSOARG00000011233	101104206	NCBP1	nuclear cap binding protein subunit 1	1.19779076378514	0.00218708162200176
ENSOARG00000011252	101102497	SMAP1	small ArfGAP 1	0.937621427945248	0.00847225103944367
ENSOARG00000011255	101104459	TSTD2	thiosulfate sulfurtransferase like domain containing 2	0.760990530674438	0.0247546653424592
ENSOARG00000011259	101106913	CCNT2	cyclin T2	0.984099446218371	0.0377354602000071
ENSOARG00000011274	101106734	HSF2BP	heat shock transcription factor 2 binding protein	-0.923904319484261	0.0383070116601563
ENSOARG00000011276	101113297	GTF2I	general transcription factor IIi	-0.691303307332017	0.00787017196240376
ENSOARG00000011278		SDHB	succinate dehydrogenase complex iron sulfur subunit B	-0.679693641303333	0.0331373274131586
ENSOARG00000011281	101123155	MON1A	MON1 homolog A, secretory trafficking associated	-0.714399244894603	0.0238960602253107
ENSOARG00000011290		SDHAF4	succinate dehydrogenase complex assembly factor 4	1.14642865643521	0.00841473957413833
ENSOARG00000011297	101123019	ST6GALNAC4	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4	-1.58710830392382	6.07544535341112e-05
ENSOARG00000011300	101108387	KLHL26	kelch like family member 26	-1.21503380475828	0.0145343680415532
ENSOARG00000011307	101123278	ST6GALNAC6	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6	-1.24806356317517	0.000646120326560095
ENSOARG00000011316	101118104	TBC1D14	TBC1 domain family member 14	-0.892476758828174	0.0104564908513627
ENSOARG00000011321	100302085	AK1	adenylate kinase 1	-1.32798212157616	0.0205169337402878
ENSOARG00000011341	101108207		testis expressed 261	-0.833139397033901	0.00385253202014596
ENSOARG00000011345	443049	PDXK	pyridoxal kinase	1.02273343467302	0.00439044293113342
ENSOARG00000011351	101110541	WDR76	WD repeat domain 76	-1.28519346438286	0.00569030772107655
ENSOARG00000011353	101102893	NAGK	N-acetylglucosamine kinase	-1.18553307330651	0.00302583146161428
ENSOARG00000011354	101120765	KLHL21	kelch like family member 21	-1.34413036353734	0.0355143452191478
ENSOARG00000011357	101114010	FKBP4	FK506 binding protein 4	-0.888625231184409	0.0107370665695024
ENSOARG00000011362	101103510	FANCI	FA complementation group I	-1.27308393496096	0.00709488248045715
ENSOARG00000011363	101116877	GOLGA7B	golgin A7 family member B	1.33567552080562	0.0109380963393063
ENSOARG00000011366	101117502	ATP5F1D	ATP synthase F1 subunit delta	-0.69216946194608	0.0387127735494193
ENSOARG00000011380	101121209	ADGRF5	adhesion G protein-coupled receptor F5	-2.01580599024391	0.00225537071999107
ENSOARG00000011382	101122670	TRAPPC2B	trafficking protein particle complex 2	1.27601890949829	0.00111621240425553
ENSOARG00000011388	101108732	ZNF638	zinc finger protein 638	0.55970911508942	0.0487004746066813
ENSOARG00000011391	101103177	EHD2	EH domain containing 2	-1.35316339124565	0.0230316948026369
ENSOARG00000011407	101112596	USP38	ubiquitin specific peptidase 38	1.08095279006647	0.0044484224104265
ENSOARG00000011408	101110521	FRY	FRY microtubule binding protein	-0.882951711553401	0.0370066515225412
ENSOARG00000011412	101117758	CIRBP	cold inducible RNA binding protein	-0.926392841754746	0.00165993319159767
ENSOARG00000011427	101115445	ITGA7	integrin subunit alpha 7	-0.751933520695184	0.0221855406038277
ENSOARG00000011431		GLOD4	glyoxalase domain containing 4	-0.475228879506195	0.0439677268992886
ENSOARG00000011433		CRLF1	cytokine receptor like factor 1	-1.49787417870268	0.00925264111075088
ENSOARG00000011441	101108996	ATP13A2	ATPase cation transporting 13A2	-1.27601955912909	0.000288426502854626
ENSOARG00000011442	101120138	OFD1	OFD1, centriole and centriolar satellite protein	-1.329830200707	0.000725446054278849
ENSOARG00000011444	101103753	ADM	adrenomedullin	3.71337098523573	0.000407771889718876
ENSOARG00000011445	101111563	CDR2L	cerebellar degeneration related protein 2 like	-1.5310426144122	0.00257626048344834
ENSOARG00000011451	101102577	SCYL3	SCY1 like pseudokinase 3	0.648794433977721	0.0207842373958978
ENSOARG00000011453		SELENOW	selenoprotein W	-0.883881113473234	0.0238610610252921
ENSOARG00000011455	101103918	DDX6	DEAD-box helicase 6	1.8509613213208	0.0186115088990976
ENSOARG00000011474	101101964	FPGS	folylpolyglutamate synthase	-1.03444846899651	0.00481439098787281
ENSOARG00000011481	101107167	PIM2	Pim-2 proto-oncogene, serine/threonine kinase	0.978249314635031	0.0492462489431647
ENSOARG00000011484	101123414	POLG	DNA polymerase gamma, catalytic subunit	-0.988242760371344	0.0021277146031634
ENSOARG00000011492	101107416	SLC35A2	solute carrier family 35 member A2	0.583229324043997	0.0496101919084425
ENSOARG00000011500	101109257	DYSF	dysferlin	2.75893936466815	8.31210253621938e-05
ENSOARG00000011530	101123478	HID1	HID1 domain containing	-0.876996809811707	0.0391034979842209
ENSOARG00000011538	101121712	VPS33A	VPS33A, CORVET/HOPS core subunit	-0.485302061750381	0.0402471100206399
ENSOARG00000011546	101119948	SNX15	sorting nexin 15	-0.514931202437119	0.0416128336765771
ENSOARG00000011550	101105869	UROS	uroporphyrinogen III synthase	-1.51645972513481	0.000792751194314799
ENSOARG00000011551	101118019	MUM1	PWWP domain-containing protein MUM1	-0.583863999404609	0.0356598871475
ENSOARG00000011559	100037672	GRPEL1	GrpE like 1, mitochondrial	0.769017050230165	0.0152933441398353
ENSOARG00000011579	101105679	MTHFSD	methenyltetrahydrofolate synthetase domain containing	-0.716714213228798	0.0330813173267128
ENSOARG00000011581		ZSWIM9	zinc finger SWIM-type containing 9	-1.19465334592979	0.0082742783795917
ENSOARG00000011586	101106011	BDH2	3-hydroxybutyrate dehydrogenase 2	-1.03196692724463	0.00757122413573304
ENSOARG00000011608	101121721	ZNF76	zinc finger protein 76	0.549105827369196	0.0459895989631331
ENSOARG00000011610	101108454	TIMM17B	translocase of inner mitochondrial membrane 17B	-0.721244883482422	0.0164396375184667
ENSOARG00000011634	101111439	SPR	sepiapterin reductase	-1.16394747354171	0.000666199563124435
ENSOARG00000011652	101104430		DEP domain containing 5	-0.779897986333058	0.0159097690959352
ENSOARG00000011655	101111403	CHEK1	checkpoint kinase 1	-1.20271508950625	0.035748224498957
ENSOARG00000011666	101102827	KIFAP3	kinesin associated protein 3	-0.686838926617945	0.0094123157270065
ENSOARG00000011687				-1.19325402762521	0.00605935926723365
ENSOARG00000011691	101121114	EMP3	epithelial membrane protein 3	0.932419829779517	0.0216232311513223
ENSOARG00000011694	101111560	B3GLCT	beta 3-glucosyltransferase	-1.19361709119404	0.00101076251998751
ENSOARG00000011701	101112025	TMEM8B	transmembrane protein 8B	-1.73858214981983	0.0025717516551528
ENSOARG00000011716	101106122	DDB1	damage specific DNA binding protein 1	-0.565972989542824	0.0387158430006006
ENSOARG00000011724	101102798	TOR2A	torsin family 2 member A	-0.827634392099604	0.00932187973017838
ENSOARG00000011728	101114641	BCL9L	B cell CLL/lymphoma 9 like	1.86896084974236	0.000941990338095516
ENSOARG00000011737	101110382	RFC2	replication factor C subunit 2	-0.672665534571547	0.0179226046208736
ENSOARG00000011741	101104182	PEX11A	peroxisomal biogenesis factor 11 alpha	1.80165300216491	0.0119409667810086
ENSOARG00000011746	101107143	MDC1	mediator of DNA damage checkpoint 1	-0.672092908837056	0.0370010582618426
ENSOARG00000011751	101114770	SLC6A12	solute carrier family 6 member 12	1.44896570803133	0.00126849708471041
ENSOARG00000011754	101104078	PGAP3	post-GPI attachment to proteins 3	-0.756219504382828	0.0406079238097398
ENSOARG00000011762	101112950	NPR2	natriuretic peptide receptor 2	-1.4134344903879	0.000644216883022568
ENSOARG00000011764	101109254	CROCC	ciliary rootlet coiled-coil, rootletin	-0.968236259316281	0.00442214866088808
ENSOARG00000011767	101109574	RPS6KB2	ribosomal protein S6 kinase B2	-0.620068626404938	0.0333985075050876
ENSOARG00000011779	101119408	TRAF5	TNF receptor associated factor 5	0.93294080112926	0.0462120273609145
ENSOARG00000011780	101108990	ACTR3	ARP3 actin related protein 3 homolog	1.3037604339068	0.012396478783118
ENSOARG00000011783	101102093		mesoderm posterior bHLH transcription factor 2	1.85065113702015	0.000172138388234887
ENSOARG00000011794	101106429	SLC9B2	solute carrier family 9 member B2	-1.85115983646126	0.000200089286363498
ENSOARG00000011796	101119059	GPS2	G protein pathway suppressor 2	-0.584284580956129	0.040103681093743
ENSOARG00000011798	101112848	INPP4B	inositol polyphosphate-4-phosphatase type II B	2.3750579390569	0.000224471522820851
ENSOARG00000011801	101120445	C3orf14	chromosome 19 open reading frame, human C3orf14	-1.10932277892982	0.00537680475067878
ENSOARG00000011803	101111297	MEDAG	mesenteric estrogen dependent adipogenesis	1.41961422607258	0.0409841744572639
ENSOARG00000011809	101111951	PRADC1	protease associated domain containing 1	-0.699682963308836	0.0374737001865648
ENSOARG00000011812	101109245	HDAC6	histone deacetylase 6	-1.00937256601746	0.0027107229176405
ENSOARG00000011813				0.933903105735604	0.0114692284827957
ENSOARG00000011840	101109704	ISYNA1	inositol-3-phosphate synthase 1	-1.3075926988068	0.00346853911798539
ENSOARG00000011841	101104860	ANPEP	alanyl aminopeptidase, membrane	3.61864026606576	3.31920890121653e-05
ENSOARG00000011854	101115389	EDEM2	ER degradation enhancing alpha-mannosidase like protein 2	-0.649816253998467	0.0282036529677233
ENSOARG00000011855	100423047		integrin subunit beta 3	3.69866026893918	0.000624421318818633
ENSOARG00000011856	443326	ALOX5AP	arachidonate 5-lipoxygenase activating protein	-1.20317151110098	0.0228333665914699
ENSOARG00000011864	443164	PFKL	phosphofructokinase, liver type	-0.598624265888714	0.0211322072565689
ENSOARG00000011866	101122914	TMEM8A	transmembrane protein 8A	-0.748855643884924	0.0135709908153729
ENSOARG00000011876	101102657	FADS6	fatty acid desaturase 6	-0.691491890580826	0.0256899061249954
ENSOARG00000011884	101111377	PRKDC	protein kinase, DNA-activated, catalytic subunit	-0.939530871913209	0.0265948307293014
ENSOARG00000011890		FANCE	FA complementation group E	-0.963110397029633	0.00119317955021093
ENSOARG00000011897	101103985	COQ3	coenzyme Q3, methyltransferase	1.03056990909951	0.00413864382516446
ENSOARG00000011898	101122864	GRSF1	G-rich RNA sequence binding factor 1	-0.88021892135405	0.0204116981575574
ENSOARG00000011901	101108011	CFAP410	cilia and flagella associated protein 410	-0.968979785843351	0.014151883161849
ENSOARG00000011905	101112773	HYLS1	HYLS1, centriolar and ciliogenesis associated	-1.54148687075004	0.0014343348221133
ENSOARG00000011908	101116159		ring finger protein 135	-0.969775608925155	0.00773447612772808
ENSOARG00000011914	101104775	ZCCHC14	zinc finger CCHC-type containing 14	-1.52938040051963	0.0116536241882823
ENSOARG00000011916				-0.754240588702331	0.00834962160078678
ENSOARG00000011922	101104245	FAXC	failed axon connections homolog	3.20088349980775	4.90124574966601e-05
ENSOARG00000011935	101113022	DDX25	DEAD-box helicase 25	-0.981268649781806	0.0276073861427379
ENSOARG00000011939	101115814	PROCR	protein C receptor	2.3806251250799	0.00361633608450702
ENSOARG00000011946	101104499	FBXL4	F-box and leucine rich repeat protein 4	-0.807680619303705	0.0113048364505646
ENSOARG00000011961	101109849	NME4	NME/NM23 nucleoside diphosphate kinase 4	-1.05708694721407	0.00880588329578501
ENSOARG00000011970	101109153	TESK1	testis associated actin remodelling kinase 1	1.44980872272971	0.00107595322938201
ENSOARG00000011974	101109918	PPP1R18	protein phosphatase 1 regulatory subunit 18	0.996061585727224	0.0027119804302976
ENSOARG00000011977	101106768	FBXW9	F-box and WD repeat domain containing 9	-0.807927236468887	0.0209688123427986
ENSOARG00000011989	101110109	DECR2	2,4-dienoyl-CoA reductase 2	-2.2056139554189	0.000199716732206749
ENSOARG00000011990	101105004	MMS22L	MMS22 like, DNA repair protein	1.86486624194091	0.00143676600532625
ENSOARG00000011992	101110831	LRSAM1	leucine rich repeat and sterile alpha motif containing 1	-0.879726625268779	0.00398820488976083
ENSOARG00000011995	101118487	CTH	cystathionine gamma-lyase	1.3785439216309	0.00930249410680776
ENSOARG00000012003	101117219	RUSC2	RUN and SH3 domain containing 2	1.66688327388532	0.000642976391903181
ENSOARG00000012011	101111749	PPP4R3A	protein phosphatase 4 regulatory subunit 3A	0.911160709656073	0.0148253872989432
ENSOARG00000012026	101112190	ABHD11	abhydrolase domain containing 11	-0.754301811483854	0.0464461959299571
ENSOARG00000012028	443452	SLC7A1	solute carrier family 7 member 1	2.2033284031466	0.0072680169262932
ENSOARG00000012031	101120005	CSE1L	chromosome segregation 1 like	-0.647922994498315	0.0254745962970639
ENSOARG00000012042		SZRD1	SUZ RNA binding domain containing 1	1.01285813556445	0.00332214012906621
ENSOARG00000012050	101120068	CCDC77	coiled-coil domain containing 77	-0.886192013446161	0.0102133596601392
ENSOARG00000012054	101109967	SSBP4	single stranded DNA binding protein 4	-0.902076556689645	0.00573055230263035
ENSOARG00000012055	100188975		hypoxanthine phosphoribosyltransferase 1	-0.5832444890205	0.0292489049800598
ENSOARG00000012056	101105508	NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4	-0.697975716669499	0.0368273101341698
ENSOARG00000012065	101119924	TCFL5	transcription factor like 5	-0.666711372660549	0.0291206513991188
ENSOARG00000012067	101122199	TEFM	transcription elongation factor, mitochondrial	-0.639211489850195	0.0242184288209906
ENSOARG00000012070	101112217	CFAP69	cilia and flagella associated protein 69	-1.1923267454923	0.00420579569092172
ENSOARG00000012083	101109841	CORO1B	coronin 1B	-1.16480751133998	0.000572619299041088
ENSOARG00000012086	443436	CD247	CD247 molecule	-0.945155599891628	0.0186869664680312
ENSOARG00000012088	101110375	HPS1	HPS1, biogenesis of lysosomal organelles complex 3 subunit 1	-0.759788533394982	0.00400095384911476
ENSOARG00000012090	101112074	TMEM104	transmembrane protein 104	-1.39487606456997	0.0137025667355418
ENSOARG00000012099				-1.25565325110151	0.049163096583639
ENSOARG00000012104	101104841	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1	-0.485958885761149	0.042378198297456
ENSOARG00000012106	101115537	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma	-1.03163037848265	0.00773447612772808
ENSOARG00000012117	101123176	RAB11FIP3	RAB11 family interacting protein 3	-0.991216033479821	0.00644968675963645
ENSOARG00000012129	443249	SLC7A5	solute carrier family 7 member 5	1.485924879817	0.0243388861366026
ENSOARG00000012141	101113284	ATXN1	ataxin 1	0.765572999663158	0.0229086480826883
ENSOARG00000012146	101104007	SWAP70	switching B cell complex subunit SWAP70	1.74772445466904	0.00049657194327878
ENSOARG00000012161	443166	SLC2A8	solute carrier family 2 member 8	-1.36120154355218	0.0011405155042314
ENSOARG00000012171	101109680	FANCG	transitional endoplasmic reticulum ATPase	-0.588924100973488	0.0463162297668936
ENSOARG00000012174	100302338	EIF6	eukaryotic translation initiation factor 6	1.21485450178132	0.00502731754338721
ENSOARG00000012182		STX3	syntaxin 3	1.14120864207126	0.00690362707167485
ENSOARG00000012192	101108827	FAM126A	family with sequence similarity 126 member A	0.827175133451225	0.0267924845132928
ENSOARG00000012195	101110305	CCDC93	coiled-coil domain containing 93	-0.529307717757749	0.0319503587162008
ENSOARG00000012222	101121975		pyruvate dehydrogenase E1 beta subunit	-0.873074357128451	0.00234053368268651
ENSOARG00000012223	101112242	SNRPB2	small nuclear ribonucleoprotein polypeptide B2	1.05770799977262	0.0081298163180511
ENSOARG00000012226	443450	BCAT2	branched chain amino acid transaminase 2	-0.722885501701956	0.0281667797762124
ENSOARG00000012228	101119367	DNAJB5	DnaJ heat shock protein family (Hsp40) member B5	0.884626666575526	0.0266914052691808
ENSOARG00000012231	101120030	FPGT	serine/threonine-protein kinase TNNI3K	-0.912914212016379	0.0497049074298968
ENSOARG00000012232	101112944	BUD23	BUD23, rRNA methyltransferase and ribosome maturation factor	-0.832008097239537	0.0380823577624194
ENSOARG00000012234	101120483	NINJ2	ninjurin 2	-0.610888337243312	0.0438160781270888
ENSOARG00000012251	101123435	CAPN15	calpain 15	-0.966191674765059	0.0286059403003325
ENSOARG00000012264	101121761	LTA4H	leukotriene A4 hydrolase	-1.1219910883046	0.00121571060708585
ENSOARG00000012283	101104960	SUMO3	small ubiquitin-like modifier 3	-0.582886670003855	0.0491228761037031
ENSOARG00000012288				2.75634680825561	0.00013142983272261
ENSOARG00000012304	101116848		ankyrin repeat domain 45	-1.35834513029626	0.00639031828174111
ENSOARG00000012305		NANP	N-acetylneuraminic acid phosphatase	0.668981177861847	0.0423737079883301
ENSOARG00000012311	101112643	GTPBP10	GTP binding protein 10	-0.762158737023312	0.00914582242016505
ENSOARG00000012318	101116309	HMG20B	high mobility group 20B	-0.650399615634367	0.0216232311513223
ENSOARG00000012323	101119319	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	-1.27808947714798	0.0305706628369641
ENSOARG00000012324				-0.70895976114594	0.0134840479934278
ENSOARG00000012331	101105342	ORMDL3	ORMDL sphingolipid biosynthesis regulator 3	-0.948511800338715	0.0032445748633464
ENSOARG00000012333	101122877	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial	-0.592731530946469	0.0180590011856867
ENSOARG00000012341	101112029	EBP	EBP, cholestenol delta-isomerase	-0.564557785739641	0.0297735767617779
