ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10.vs.Ctrl.micro.logFC	LPS100.A10.vs.Ctrl.micro.p.value
ENSOARG00000009743	101108968	EFCAB7	EF-hand calcium binding domain 7	-0.528555245256111	0.0457302016312187
ENSOARG00000009748	101123183	DLC1	DLC1 Rho GTPase activating protein	-3.42041482296366	8.09157618983651e-05
ENSOARG00000009761	101114732	AARS2	alanyl-tRNA synthetase 2, mitochondrial	0.634135844139626	0.0094132543299179
ENSOARG00000009771	101123444	RNF113A	ring finger protein 113A	-0.776673542416994	0.0079677312957136
ENSOARG00000009774	101102894	NABP2	nucleic acid binding protein 2	-0.629093500078832	0.00875594119770721
ENSOARG00000009777	101116591	TPD52L2	TPD52 like 2	-0.843176768174664	0.00368775778831755
ENSOARG00000009784	101114815	LIMK2	LIM domain kinase 2	-0.497710642061571	0.0389680787936997
ENSOARG00000009786	101110026	BNIP3L	BCL2 interacting protein 3 like	-0.667755784867775	0.00537556757839701
ENSOARG00000009799	101108197	NBL1	NBL1, DAN family BMP antagonist	-0.663989975382265	0.00363293796420179
ENSOARG00000009802	101110299	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha	0.754558646365433	0.012701376875218
ENSOARG00000009803	101106766	TWISTNB	TWIST neighbor	1.20476090423253	0.000590792847445746
ENSOARG00000009804	101118970		acyl-CoA binding domain containing 4	-1.15594947677744	0.00070849513942313
ENSOARG00000009811	101106843	SUGP2	SURP and G-patch domain containing 2	-0.761084508202872	0.00116244155192432
ENSOARG00000009822	101110067	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit	-2.13924971491631	0.00018037596984249
ENSOARG00000009827	101113869	VASH2	vasohibin 2	2.43256776659827	0.00216401709996673
ENSOARG00000009831	101120589	PSMB3	proteasome subunit beta 3	0.850309910361454	0.0180432692937028
ENSOARG00000009839	101111097	MED16	mediator complex subunit 16	-0.521669453808644	0.0494531367033062
ENSOARG00000009840	101120849	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta	-1.23675694265015	0.0160769967983719
ENSOARG00000009841	443304	ACVR2A	activin A receptor type 2A	1.18885687930527	0.0013700798614704
ENSOARG00000009848	105605613	LOC105605613	UPF0600 protein C5orf51-like	0.582594850854623	0.0156293471924831
ENSOARG00000009854	101114877	EXT1	exostosin glycosyltransferase 1	1.04454707373895	0.00295695185969416
ENSOARG00000009855				-1.22190729588597	0.00570059434947453
ENSOARG00000009857	101116341	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	-0.464532282429053	0.0460704562954656
ENSOARG00000009864				1.10601891939163	0.00305882401252742
ENSOARG00000009868				1.39397492383648	0.00723677381559997
ENSOARG00000009880		ZEB2	zinc finger E-box binding homeobox 2	-1.46218298337292	0.00411205379600445
ENSOARG00000009881				-0.869285757392425	0.0111133116645607
ENSOARG00000009882	101105120	TOMM40L	translocase of outer mitochondrial membrane 40 like	-0.542547110394918	0.0268357280156017
ENSOARG00000009884	101109152	PQLC2	PQ loop repeat containing 2	-0.641418464166872	0.00491546960029976
ENSOARG00000009886	101110339	RPF2	ribosome production factor 2 homolog	1.81446604304637	0.00025414173377686
ENSOARG00000009897		UFM1	ubiquitin fold modifier 1	1.0527721003958	0.00846678303684255
ENSOARG00000009900				-1.13296484853734	0.000524407322025426
ENSOARG00000009906	101110879	TTC23	tetratricopeptide repeat domain 23	-1.30540932651568	0.00295577849033099
ENSOARG00000009924	101105975	ANXA11	annexin A11	-0.459057752595328	0.0309579367844561
ENSOARG00000009926	101107759	NIPSNAP2	nipsnap homolog 2	-1.26973760607805	0.000901671343002422
ENSOARG00000009930	100145875	PSPH	phosphoserine phosphatase	1.62221111853202	0.000489833839580357
ENSOARG00000009931	101103147	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2	-0.856495741529754	0.0191133921053808
ENSOARG00000009933	101111128	ANAPC10	anaphase promoting complex subunit 10	0.737347174707503	0.00716102591119651
ENSOARG00000009943	101113091	CD3EAP	CD3e molecule associated protein	-0.837044712949247	0.00543285889849129
ENSOARG00000009947	101119618	TCEAL1	transcription elongation factor A like 1	-1.05301566817848	0.00250175858450071
ENSOARG00000009948		ZBTB46	zinc finger and BTB domain containing 46	1.2470118012744	0.0148184049929719
ENSOARG00000009967				-0.601480343943819	0.00795565172244102
ENSOARG00000009968	101111460	CDK19	cyclin dependent kinase 19	-0.967319182613022	0.0335366520753001
ENSOARG00000009981	101111550	TBC1D1	TBC1 domain family member 1	1.46028764012149	0.000538995082957482
ENSOARG00000009985	101107391	TUBGCP4	tubulin gamma complex associated protein 4	-0.736146325999513	0.0177561143179786
ENSOARG00000009992				-1.10178551192378	0.00130755791364883
ENSOARG00000009997	101121716	SEMA3B	semaphorin 3B	-0.876360668428616	0.0252584352017185
ENSOARG00000010000	101115381	ASGR2	asialoglycoprotein receptor 2	1.65733603545658	0.01817163861533
ENSOARG00000010007	101114028	OTUD6B	OTU domain containing 6B	0.557263077056015	0.0315524285242003
ENSOARG00000010012	101106676	SNX10	sorting nexin 10	1.73283439198206	0.00440811914253338
ENSOARG00000010014	101109195	SAP30BP	SAP30 binding protein	0.514923719438267	0.0154725366036479
ENSOARG00000010023	101106219	CFAP126	cilia and flagella associated protein 126	-0.520185799496219	0.0256299286155974
ENSOARG00000010027	101107517	ITGB8	integrin subunit beta 8	2.41640236727593	0.00136416879655291
ENSOARG00000010041	101103329	POSTN	periostin	-0.572901576176492	0.0421156494109461
ENSOARG00000010044	101106495	HNRNPH2	heterogeneous nuclear ribonucleoprotein H2	-0.785135357535441	0.00714983924669097
ENSOARG00000010049	101108532	PGAM1	phosphoglycerate mutase 1	-0.712290736093635	0.0207952307741293
ENSOARG00000010061	101115906	PATZ1	POZ/BTB and AT hook containing zinc finger 1	-1.06936320331504	0.00434541241314274
ENSOARG00000010074	101109897	EFHD2	EF-hand domain family member D2	1.5923664429673	0.000641800512456196
ENSOARG00000010075	101113616	VASP	vasodilator stimulated phosphoprotein	1.5217202499934	0.00124713298672805
ENSOARG00000010087	101112312	STAP2	signal transducing adaptor family member 2	-0.777026964987379	0.0337195289535008
ENSOARG00000010090	101109796	CNOT8	CCR4-NOT transcription complex subunit 8	0.486475545756266	0.0146662460994282
ENSOARG00000010094	100192432	FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)	2.25911554621516	8.73260604625116e-05
ENSOARG00000010097	101103039	CLCN5	chloride voltage-gated channel 5	1.33412264237174	0.000365676368288679
ENSOARG00000010103	101120555	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4	0.551688074269852	0.0200928833767219
ENSOARG00000010104	101103653	WDYHV1	WDYHV motif containing 1	-0.503582886169028	0.0298559692257621
ENSOARG00000010105	101107067	TMEM254	transmembrane protein 254	1.0623209110605	0.00107044412776383
ENSOARG00000010108	101121927	FEZ2	fasciculation and elongation protein zeta 2	-0.877559979416464	0.00477180410799634
ENSOARG00000010123	101117612	EML2	echinoderm microtubule associated protein like 2	-1.75107809772531	3.15302369632615e-05
ENSOARG00000010125	101119381	ODF2	outer dense fiber of sperm tails 2	-0.562952538690999	0.0286005436695535
ENSOARG00000010133	101109464	RECQL5	RecQ like helicase 5	-1.38027051536036	0.000205434116470967
ENSOARG00000010134	101108027	ARMCX2	armadillo repeat containing X-linked 2	-0.898473967717767	0.00253899870510555
ENSOARG00000010135	101123393	F5	solute carrier family 19 member 2	-0.948551925026124	0.014157770289258
ENSOARG00000010136	101113810	EXOSC1	exosome component 1	0.551885637273075	0.0445699385053108
ENSOARG00000010140	101104410	SUPT20H	SPT20 homolog, SAGA complex component	0.540023455832014	0.0139652996171267
ENSOARG00000010142	101103121	TNKS	tankyrase	0.740725044832654	0.0304743127821476
ENSOARG00000010144	101111966	KLF3	Kruppel like factor 3	-0.861489505494051	0.0248165081076945
ENSOARG00000010145	101106031	CLP1	cleavage and polyadenylation factor I subunit 1	0.412496871021196	0.0466716454181765
ENSOARG00000010162	101118997	SACM1L	SAC1 like phosphatidylinositide phosphatase	-1.11277084864643	0.0104473644034733
ENSOARG00000010163	101122190	GCDH	glutaryl-CoA dehydrogenase	-0.655005934152925	0.0359085179490607
ENSOARG00000010164	100302341	GNAI2	G protein subunit alpha i2	-1.08691981559055	0.00126659974844198
ENSOARG00000010172	101104238	INTS12	integrator complex subunit 12	0.589484113485303	0.00913429621838751
ENSOARG00000010174		RHOBTB2	Rho related BTB domain containing 2	-1.07174174665676	0.00223856752741842
ENSOARG00000010179	101109010	TRIM24	tripartite motif containing 24	-0.682124454688086	0.0289788343460382
ENSOARG00000010180	101118392	ITPR3	inositol 1,4,5-trisphosphate receptor type 3	-0.755467971496827	0.00521725914548075
ENSOARG00000010181	101120594		potassium channel tetramerization domain containing 3	0.661660712413432	0.0146510476247398
ENSOARG00000010183	100126575	CTTNBP2	cortactin binding protein 2	-0.947066974176862	0.0256140855825802
ENSOARG00000010185	101113245	FIG4	FIG4 phosphoinositide 5-phosphatase	-0.727370617655823	0.00191203520830323
ENSOARG00000010196	101119742	TNFRSF9	TNF receptor superfamily member 9	3.39568001885707	7.76340156364684e-05
ENSOARG00000010201	101121968	ZDHHC5	zinc finger DHHC-type containing 5	0.433688091733972	0.0357079306819453
ENSOARG00000010211	101117870	QPCTL	glutaminyl-peptide cyclotransferase like	-0.709457673837431	0.00389818361893868
ENSOARG00000010223	101115536	NFE2L3	nuclear factor, erythroid 2 like 3	1.35146629662173	0.00184215639742195
ENSOARG00000010226				0.782002713850519	0.0174618320331782
ENSOARG00000010231	780441	MX2	MX dynamin like GTPase 2	2.07260725083292	0.000536809582542163
ENSOARG00000010235	101116869	TMF1	TATA element modulatory factor 1	0.768406643623683	0.00794683702464169
ENSOARG00000010236	101111814	TMEM64	transmembrane protein 64	0.795288851985723	0.0224369821241275
ENSOARG00000010237	101106984	FCRLB	Fc receptor like B	1.52977367326832	0.00172416038387077
ENSOARG00000010240				0.747661333766493	0.0381904392970537
ENSOARG00000010247	101103903	ATAD2	ATPase family, AAA domain containing 2	-1.04468888217765	0.00739459142368063
ENSOARG00000010253	101102418	TMEM25	transmembrane protein 25	-1.20177801993124	0.00430917359406135
ENSOARG00000010268	101108589	SNAP25	synaptosome associated protein 25	1.28888336028218	0.0234319339985974
ENSOARG00000010270	101115621	SHD	Src homology 2 domain containing transforming protein D	4.17801185264086	0.00011345440618185
ENSOARG00000010272	101103535	DUSP4	dual specificity phosphatase 4	-1.54146154949793	0.00271689718878936
ENSOARG00000010282		MED19	mediator complex subunit 19	0.901405555691152	0.00570644330412491
ENSOARG00000010288	101110454	MAP1A	microtubule associated protein 1A	-1.2393324017977	0.00511225185891091
ENSOARG00000010292				0.972107242619917	0.00106526447734262
ENSOARG00000010295	101115483	NAA25	N(alpha)-acetyltransferase 25, NatB auxiliary subunit	0.947067059918552	0.0032640767295965
ENSOARG00000010312	101109329	TSPAN14	tetraspanin 14	-1.27183778451259	0.000718463481968804
ENSOARG00000010313	101107235	TBRG1	transforming growth factor beta regulator 1	1.20352070368264	0.000241037487646648
ENSOARG00000010315	101107242	DUSP12	dual specificity phosphatase 12	1.72725422289212	8.93903760412713e-05
ENSOARG00000010316	101104360	LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase	-0.535189563708144	0.0333788472320249
ENSOARG00000010317	101109032	MKKS	McKusick-Kaufman syndrome	-1.08521091347237	0.00830265116719243
ENSOARG00000010321	101104535	CCHCR1	coiled-coil alpha-helical rod protein 1	-0.856482264724986	0.0140354342814923
ENSOARG00000010326	101115484	DRG1	developmentally regulated GTP binding protein 1	0.888872013270726	0.00216401709996673
ENSOARG00000010342	101115297	NSL1	NSL1, MIS12 kinetochore complex component	-0.762710876048589	0.0445699385053108
ENSOARG00000010351	101104551	DCTN6	dynactin subunit 6	0.512823446629417	0.0389680787936997
ENSOARG00000010352	100147799	CCND2	cyclin D2	1.31794572614559	0.0239744741221294
ENSOARG00000010354	101121894	LRRC8D	leucine rich repeat containing 8 VRAC subunit D	-1.14807579596503	0.000189481089025145
ENSOARG00000010367	101117237	PARP11	poly(ADP-ribose) polymerase family member 11	1.11713369011864	0.000945774460639558
ENSOARG00000010368	101117606	RTEL1	regulator of telomere elongation helicase 1	-0.908808448628083	0.0019812261025675
ENSOARG00000010372	101116536	POLR3D	RNA polymerase III subunit D	1.52274897514724	7.89313774470983e-05
ENSOARG00000010380	101109066		CGRP receptor component	0.981115856163889	0.00194042976744501
ENSOARG00000010391		FAM53B	family with sequence similarity 53 member B	-2.26970149644552	0.000187587037339421
ENSOARG00000010392	101111728	TMEM51	transmembrane protein 51	1.08642891822534	0.0021068530447549
ENSOARG00000010404	101105304	GTF2E2	general transcription factor IIE subunit 2	1.09948388398343	0.00166653621805958
ENSOARG00000010405	101122334	BMP1	bone morphogenetic protein 1	0.70971785583198	0.0151207141922052
ENSOARG00000010429	101111816	BLMH	bleomycin hydrolase	0.57973373483142	0.0240370456064335
ENSOARG00000010431	101108255	CPLANE1	ciliogenesis and planar polarity effector 1	-0.824760453021772	0.0118121611828718
ENSOARG00000010436	101114322	MMS19	MMS19 homolog, cytosolic iron-sulfur assembly component	-1.01885671672236	0.000345676292425117
ENSOARG00000010442		ALDH4A1	aldehyde dehydrogenase 4 family member A1	-0.647504244067527	0.0135425075031767
ENSOARG00000010445	101113064	EBI3	Epstein-Barr virus induced 3	2.69632146636495	0.000449400935691576
ENSOARG00000010447	101118911	EHD1	EH domain containing 1	1.23310200878287	0.00115969121755886
ENSOARG00000010451	101114416		glutathione-disulfide reductase	1.03436065649549	0.0038104950911539
ENSOARG00000010453	101110019	TPST1	tyrosylprotein sulfotransferase 1	0.815806372346168	0.00286788302748068
ENSOARG00000010472				-0.922221973986371	0.0333967496475947
ENSOARG00000010476	101121105	PSMD11	proteasome 26S subunit, non-ATPase 11	0.925353943027267	0.00127093362872856
ENSOARG00000010485	101108520	CKMT1A	creatine kinase, mitochondrial 1A	1.70030402259531	0.0031254295025734
ENSOARG00000010494	101117473	NUDT18	nudix hydrolase 18	-0.808680202629578	0.00556068855507678
ENSOARG00000010501				-0.717583905718435	0.00573543946703934
ENSOARG00000010503				-0.513887880310523	0.0370081525827841
ENSOARG00000010507	101110292	RABGEF1	RAB guanine nucleotide exchange factor 1	1.73526900921855	4.81139449835095e-05
ENSOARG00000010508	101115040	DECR1	2,4-dienoyl-CoA reductase 1	-0.684722584622626	0.00555164018379259
ENSOARG00000010513	101122842	FAM160B2	family with sequence similarity 160 member B2	-0.924441939619744	0.0030850478768242
ENSOARG00000010523	780486	JAG1	jagged 1	2.08832375423044	0.000681409644640048
ENSOARG00000010526	101120722	C2CD2	C2 calcium dependent domain containing 2	0.672590491040872	0.0479007866648382
ENSOARG00000010527	101107480	SIAE	sialic acid acetylesterase	-0.448854134000439	0.0282876209683931
ENSOARG00000010528	101120608	SLCO3A1	solute carrier organic anion transporter family member 3A1	-1.18913045912433	0.00433201275744077
ENSOARG00000010535	101107095		ceramide synthase 1	-1.37639073088602	0.00337272125987302
ENSOARG00000010537	101118429	LOC101118429	THAP domain-containing protein 11	-1.26762842807227	0.000611548700804018
ENSOARG00000010545	101120026	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)	-0.854147902220586	0.0205112555952614
ENSOARG00000010546	101105343	MTMR4	myotubularin related protein 4	1.7631426765504	0.00144473621552078
ENSOARG00000010551	101119061	PLEKHM1	pleckstrin homology and RUN domain containing M1	-2.29697411846615	9.13042807418901e-05
ENSOARG00000010552	100302315	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1	-1.02254148789074	0.0138194092102125
ENSOARG00000010566	101115236	LOC101115236	uncharacterized protein C3orf18-like	-0.740118747112553	0.00443742391919823
ENSOARG00000010572				0.810042313611276	0.0113643009368152
ENSOARG00000010574	101102920	WFDC1	WAP four-disulfide core domain 1	-0.694628599825227	0.0173045005883678
ENSOARG00000010578	101116258	MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5	1.11716063565921	0.00041623071269319
ENSOARG00000010595	101119512	LARS2	leucyl-tRNA synthetase 2, mitochondrial	-0.794284765469711	0.0042790396146072
ENSOARG00000010623	101118175	TSPAN11	tetraspanin-11	-0.716245929846371	0.00173907098648139
ENSOARG00000010624	101115715	CEP57L1	centrosomal protein 57 like 1	0.547852632997469	0.0126382116215345
ENSOARG00000010626	101109893	GRB2	growth factor receptor bound protein 2	1.12995686752832	0.00106526447734262
ENSOARG00000010627		NBEA	neurobeachin	0.99971972413584	0.0377229995149032
ENSOARG00000010628	101116749	TMEM206	transmembrane protein 206	-1.07074519111215	0.00302066859840362
ENSOARG00000010643		TIMD4	T cell immunoglobulin and mucin domain containing 4	-1.75101034222506	0.000527000205671144
ENSOARG00000010645	101121358	ZNF207	zinc finger protein 207	0.629598088418523	0.0412857956260002
ENSOARG00000010650	101116511	ALDH2	aldehyde dehydrogenase 2 family member	-0.50279272810268	0.0279831478434044
ENSOARG00000010654	101122978	CTNND1	catenin delta 1	-0.718872819390889	0.0153381188381703
ENSOARG00000010656	100147801	SLC25A26	solute carrier family 25 member 26	0.507540791228766	0.0226262108783551
ENSOARG00000010676				0.834511495715752	0.00580132705632227
ENSOARG00000010681	494439	ATP6V1B2	ATPase H+ transporting V1 subunit B2	-0.611786248804226	0.0313472472517134
ENSOARG00000010684	101109666	SNN	stannin	2.02421612088207	2.3583132527493e-05
ENSOARG00000010691	101115839	S1PR1	sphingosine-1-phosphate receptor 1	5.67918301047745	5.6122443864452e-05
ENSOARG00000010693	101115970	SESN1	sestrin 1	-1.78211195437212	6.79512553223902e-05
ENSOARG00000010700		MSANTD2	Myb/SANT DNA binding domain containing 2	0.901806126493907	0.00218573999320956
ENSOARG00000010711	100180629	TSPAN9	tetraspanin 9	-1.05392276848915	0.00265344509930337
ENSOARG00000010719	443408	LPL	lipoprotein lipase	-1.19906196375147	0.00287030693471063
ENSOARG00000010720				-0.542894224779439	0.0117916871398089
ENSOARG00000010723	101113150	WDR19	WD repeat domain 19	-1.62980047148361	7.45133415544998e-05
ENSOARG00000010725	101119834	GOSR2	golgi SNAP receptor complex member 2	0.887986621366696	0.000945774460639558
ENSOARG00000010728	101120863	ZCCHC8	zinc finger CCHC-type containing 8	0.554020141231914	0.0377014268862153
ENSOARG00000010744	101109055	UHMK1	U2AF homology motif kinase 1	0.970778627381338	0.00195886962112176
ENSOARG00000010749		NPRL3	NPR3 like, GATOR1 complex subunit	-0.452617119384585	0.0232599429589725
ENSOARG00000010759	101117264	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha	-1.01129696802727	0.00158567297261269
ENSOARG00000010760	101119171	ATG2A	autophagy related 2A	-0.675027387797299	0.00533015850984374
ENSOARG00000010764	101118248	HCCS	cytochrome c-type heme lyase	1.32263533756321	0.000623482760144236
ENSOARG00000010767	101103208		sesquipedalian-1-like	-0.772300511294624	0.0247925539150873
ENSOARG00000010779	101122492	ZNF768	zinc finger protein 768	-1.10546928462937	0.000199410398382079
ENSOARG00000010784	100302549	SLC1A5	solute carrier family 1 member 5	1.67348930414023	0.000144641466422095
ENSOARG00000010793		MIF4GD	MIF4G domain containing	-0.507196815694064	0.0221367718933926
ENSOARG00000010800	100307046	PRDX2	peroxiredoxin 2	1.02427619344556	0.00552321326806431
ENSOARG00000010803	101115286	NBN	nibrin	0.471197465324548	0.0472940548891693
ENSOARG00000010805	101117083	SNX3	sorting nexin 3	-0.556576833220741	0.0440677147065402
ENSOARG00000010816	101112277	CASTOR2	cytosolic arginine sensor for mTORC1 subunit 2	-1.78906479199674	0.000312689064654453
ENSOARG00000010823	101116434	SNRPC	small nuclear ribonucleoprotein polypeptide C	0.772483340101529	0.0102015968211704
ENSOARG00000010837	101123418	TPMT	thiopurine S-methyltransferase	0.631593886766084	0.0203880659226166
ENSOARG00000010838	101113224	DGKA	diacylglycerol kinase alpha	-1.09915364758997	0.000161935528519788
ENSOARG00000010844	101106890	VARS2	valyl-tRNA synthetase 2, mitochondrial	-0.869834526328732	0.0017121479473901
ENSOARG00000010847		UBTD1	ubiquitin domain containing 1	-0.838423912342851	0.00129808266819676
ENSOARG00000010848	101117512	NR2E1	nuclear receptor subfamily 2 group E member 1	-1.50389206602574	0.00264037842802356
ENSOARG00000010853	101123459		mediator of cell motility 1	1.4432998976172	0.000757806864081817
ENSOARG00000010856	101104392	PYM1	PYM homolog 1, exon junction complex associated factor	0.576566521687034	0.0481487018668976
ENSOARG00000010859	101112544		proteolipid protein 2	-0.51719813820772	0.0351411952697753
ENSOARG00000010878	101109261		prostaglandin E synthase 2	-0.667296730569786	0.00642374870970093
ENSOARG00000010884	101103540	RBMX	RNA binding motif protein X-linked	0.650236043761427	0.0180992281802451
ENSOARG00000010891				-0.556629452262237	0.0403688958444052
ENSOARG00000010901	101103171	MEAK7	MTOR associated protein, eak-7 homolog	-1.13120417722923	0.00173907098648139
ENSOARG00000010908	101122251	ERP44	endoplasmic reticulum protein 44	0.722744857511786	0.0104473644034733
ENSOARG00000010912	100302346	PDIA3	protein disulfide isomerase family A member 3	0.584578568878401	0.0473096762443075
ENSOARG00000010918	101115416		C-terminal binding protein 2	-0.800227404248642	0.00143727169354816
ENSOARG00000010924	101115396	EXOSC6	exosome component 6	-0.73591092389826	0.0198694750814209
ENSOARG00000010925	101103415	COTL1	coactosin like F-actin binding protein 1	-1.18850046760915	0.000781611588003869
ENSOARG00000010927	101105472	GPKOW	G-patch domain and KOW motifs	0.685050216603301	0.0111133116645607
ENSOARG00000010931	101112332	GOSR1	golgi SNAP receptor complex member 1	0.861082299122704	0.00153350911845753
ENSOARG00000010932	101123230	ZC3H4	zinc finger CCCH-type containing 4	-1.1271086405527	0.00405549358692597
ENSOARG00000010934	101114573	HOGA1	4-hydroxy-2-oxoglutarate aldolase 1	-1.36482522500817	0.00144726451924458
ENSOARG00000010956	101118743	POLD4	DNA polymerase delta 4, accessory subunit	-0.739439139240126	0.0193997843172288
ENSOARG00000010960	101101953	ALG2	ALG2, alpha-1,3/1,6-mannosyltransferase	1.1894086621309	0.00073804133916642
ENSOARG00000010972		CCDC9	coiled-coil domain containing 9	0.582715243452014	0.0209050046992314
ENSOARG00000010976	101112784	LOC101112784	general transcription factor II-I repeat domain-containing protein 2	-0.9497306909613	0.0134997654806943
ENSOARG00000010979	101118432	RHNO1	RAD9-HUS1-RAD1 interacting nuclear orphan 1	-0.782851564658132	0.0211052325861111
ENSOARG00000010982	101118033	PHF23	PHD finger protein 23	-0.734362736469402	0.00411756643558128
ENSOARG00000010987	101110856	NUP85	nucleoporin 85	0.555693697163205	0.03590192609452
ENSOARG00000010994	101116826	POLR2E	RNA polymerase II subunit E	-0.451636160892678	0.0372267573681167
ENSOARG00000010995				-0.674543357410307	0.0187519239958703
ENSOARG00000011008		RAB35	RAB35, member RAS oncogene family	-0.652278824396156	0.0135115328058557
ENSOARG00000011011	101119018	MSL3	MSL complex subunit 3	-0.713113793939796	0.00974717709898279
ENSOARG00000011012		C5AR2	complement component 5a receptor 2	-1.08889737933898	0.00838864413995244
ENSOARG00000011030	101105620	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3	0.748956147068172	0.0072810297521517
ENSOARG00000011041	101110708	ELL3	elongation factor for RNA polymerase II 3	1.6161919037149	0.00059253732416588
ENSOARG00000011053	101110341	HAS2	hyaluronan synthase 2	2.95371548971371	0.00073804133916642
ENSOARG00000011060				-0.653319404014464	0.032187209532056
ENSOARG00000011086	101112992	ABR	ABR, RhoGEF and GTPase activating protein	-1.03640416226576	0.0112217978958834
ENSOARG00000011089		ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A	-0.88803878515978	0.0299333719756705
ENSOARG00000011090	101110692	TRDMT1	tRNA aspartic acid methyltransferase 1	0.709595813077737	0.00783948686805401
ENSOARG00000011093	101115415	PI4K2A	phosphatidylinositol 4-kinase type 2 alpha	-1.23184795805612	9.93851197024005e-05
ENSOARG00000011098	101105182	PDP2	pyruvate dehyrogenase phosphatase catalytic subunit 2	-1.1450437551443	0.035501251702815
ENSOARG00000011103	101120590	LOC101120590	ADP-ribosylation factor 2	-0.840494476554593	0.0132332509725253
ENSOARG00000011117	101109060	LUC7L	LUC7 like	1.03857354583649	0.00419795717904952
ENSOARG00000011127	101112010	KIF13A	kinesin family member 13A	-1.57385242917594	0.00156893814713454
ENSOARG00000011128	101106301	CBS	cystathionine-beta-synthase	1.83364417376657	0.000656401447237007
ENSOARG00000011130	101113412	SBNO2	strawberry notch homolog 2	0.927180747020396	0.00680038506677282
ENSOARG00000011131	101103791		tripartite motif containing 14	0.693198408771132	0.0468988489749552
ENSOARG00000011135	101103748	ATXN1L	ataxin 1 like	0.687698338864549	0.0258127082920435
ENSOARG00000011149	101109711	CRYBG1	crystallin beta-gamma domain containing 1	-1.1732223767633	0.00266630095504634
ENSOARG00000011157	101106403	TFE3	transcription factor binding to IGHM enhancer 3	-0.721209826128828	0.0333033066053959
ENSOARG00000011179	101109980	BRCA2	BRCA2, DNA repair associated	-1.1349883874336	0.00184177117374403
ENSOARG00000011183	101110612	CEBPG	CCAAT enhancer binding protein gamma	0.897164225140768	0.00326566261146845
ENSOARG00000011185	101115666	AVPI1	arginine vasopressin induced 1	-2.66203666603345	3.29805419177498e-06
ENSOARG00000011187	101106757	ADD2	adducin 2	-2.30487454891077	0.00176541152423717
ENSOARG00000011189	101110805	NUF2	NDC80 kinetochore complex component NUF2	-0.862539150868508	0.0142787733630773
ENSOARG00000011191	101101996	OGFRL1	opioid growth factor receptor like 1	2.03040735750773	1.21887036100025e-05
ENSOARG00000011206	101105167	SPIDR	scaffold protein involved in DNA repair	-0.96965567842552	0.00192822740865457
ENSOARG00000011211	101109528	PIP5KL1	phosphatidylinositol-4-phosphate 5-kinase like 1	-1.13991037063516	0.0215412480327063
ENSOARG00000011212	101119002	RAD9A	RAD9 checkpoint clamp component A	-0.864649763314059	0.00133671476247261
ENSOARG00000011218	101114432	SARNP	SAP domain containing ribonucleoprotein	0.631258249508745	0.0406139727117404
ENSOARG00000011221	101123570	NXN	nucleoredoxin	-1.14605361343072	0.000778600319976412
ENSOARG00000011230	101120509	THAP3	THAP domain containing 3	-0.572382340491605	0.0269462175108037
ENSOARG00000011232	101104418	KIAA0513	KIAA0513 ortholog	-1.23095128281925	0.00593692735519174
ENSOARG00000011233	101104206	NCBP1	nuclear cap binding protein subunit 1	0.948266736612291	0.00242137332844631
ENSOARG00000011234	101110271	MFAP1	microfibril associated protein 1	0.581561828951264	0.0157230543972755
ENSOARG00000011239	101111126	IL7R	interleukin 7 receptor	2.79529919862989	0.00420354584494572
ENSOARG00000011240	101117858	ELP5	elongator acetyltransferase complex subunit 5	0.721886658711373	0.00605176614916883
ENSOARG00000011254	101111213	NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5	0.837142205042535	0.0121189759320729
ENSOARG00000011270	101116270	ZFYVE27	zinc finger FYVE-type containing 27	0.501208368083474	0.0451878570904966
ENSOARG00000011272	101121017	PRDM1	PR/SET domain 1	1.55802526716306	6.74480754775279e-05
ENSOARG00000011276	101113297	GTF2I	general transcription factor IIi	-0.804490743717525	0.000942291775192502
ENSOARG00000011278		SDHB	succinate dehydrogenase complex iron sulfur subunit B	-0.522211346307524	0.0449135548582711
ENSOARG00000011279		PHF13	PHD finger protein 13	-0.838467000972684	0.0249358539161051
ENSOARG00000011286	101103014	ABHD2	abhydrolase domain containing 2	0.712406419832252	0.00802917206973085
ENSOARG00000011290		SDHAF4	succinate dehydrogenase complex assembly factor 4	1.40873609691702	0.00085416220831754
ENSOARG00000011297	101123019	ST6GALNAC4	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4	-1.47341295354171	2.33370404091219e-05
