ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.Ctrl_1_hit.astro.logFC	LPS100_1_hit.vs.Ctrl_1_hit.astro.p.value
ENSOARG00000015492	101109488	ABHD17C	abhydrolase domain containing 17C	-1.54726191154135	0.000659016964482673
ENSOARG00000015541	101115008		SH3 domain containing ring finger 1	0.949503206860695	0.0315055100318379
ENSOARG00000015587				1.46100199121466	0.000375421922348136
ENSOARG00000015653	101103447	EEF2K	eukaryotic elongation factor 2 kinase	-1.67982492184457	6.09295124253361e-05
ENSOARG00000015698	101105013	MNT	MAX network transcriptional repressor	-1.26824424351283	0.0277643619153295
ENSOARG00000015775	101109822	GPT2	glutamic--pyruvic transaminase 2	-1.64255347157656	0.000351441763286575
ENSOARG00000015786	101116726	ICAM5	intercellular adhesion molecule 5	1.31045951959568	0.00400053824097996
ENSOARG00000015821	101120886	EPHB4	EPH receptor B4	-1.25401166542728	0.000803629440321041
ENSOARG00000015846	101111462		plectin	-0.967358933103144	0.0131330478583566
ENSOARG00000015859		KCTD10	potassium channel tetramerization domain containing 10	1.35167038150944	0.000438569083707423
ENSOARG00000015877	101122185	GTPBP1	GTP binding protein 1	1.30761765222913	0.000671153960447458
ENSOARG00000015895	101106582	PLXNC1	plexin C1	-1.0428810334883	0.00374063372703303
ENSOARG00000015904		FGFR3	fibroblast growth factor receptor 3	-1.27681950900473	0.025816306704005
ENSOARG00000015905	101112730	EIF4E	eukaryotic translation initiation factor 4E	2.07693478975155	0.00174490710123879
ENSOARG00000015934	101123250	PCGF5	polycomb group ring finger 5	1.14961222405788	0.0069812225041638
ENSOARG00000015974	101122065	SLC15A3	solute carrier family 15 member 3	0.968494903402528	0.0272173129206013
ENSOARG00000016027	101116878	USP25	ubiquitin specific peptidase 25	1.05554614335533	0.0126832923042383
ENSOARG00000016028	101106631	CLASP2	cytoplasmic linker associated protein 2	0.834896304598323	0.0303949314280068
ENSOARG00000016037	101109762	CRAMP1	cramped chromatin regulator homolog 1	0.983405778177951	0.0329743917201426
ENSOARG00000016039	101103649	DCP2	decapping mRNA 2	1.07182382230873	0.00338840982831827
ENSOARG00000016047	101102437	TGFBR3	transforming growth factor beta receptor 3	1.07277913828036	0.0307410301084366
ENSOARG00000016093	101118223	FAN1	FANCD2 and FANCI associated nuclease 1	-0.8607678069301	0.0148545311245482
ENSOARG00000016109	101103538	IL2RG	interleukin 2 receptor subunit gamma	1.22686497490183	0.00235351378155957
ENSOARG00000016144	101120647	LPIN1	lipin 1	-1.21214521356661	0.010125996137016
ENSOARG00000016145				-1.16790161871348	0.0385552032380752
ENSOARG00000016188	101119119	BIN1	bridging integrator 1	-0.870392940668327	0.0183720636043602
ENSOARG00000016226	101104344	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	0.905177046613367	0.00808682297513986
ENSOARG00000016246	101110650	MFSD6	major facilitator superfamily domain containing 6	-1.23467193099241	0.00155082308492635
ENSOARG00000016250	101118151	HSPA13	heat shock protein family A (Hsp70) member 13	0.861518594156803	0.047687005171331
ENSOARG00000016264	101122144	VPS37C	VPS37C, ESCRT-I subunit	1.19703596215957	0.000520048327835027
ENSOARG00000016308	101105558	SLC25A43	solute carrier family 25 member 43	-1.14005696210706	0.0373136163542421
ENSOARG00000016327	101104257	RAB40B	RAB40B, member RAS oncogene family	-1.42508253588889	0.0498500457286044
ENSOARG00000016330	101116411	DSCC1	DNA replication and sister chromatid cohesion 1	-1.25435720729005	0.0174598685840559
ENSOARG00000016367	100302080	RASSF1	Ras association domain family member 1	1.20518246864397	0.00278125430597564
ENSOARG00000016432	101107357	ATG12	autophagy related 12	0.871391166196335	0.0162843310985415
ENSOARG00000016436	101116996	FAM83H	family with sequence similarity 83 member H	-1.05928709136835	0.00838209825070086
ENSOARG00000016460	101120852	TOR3A	torsin family 3 member A	1.21231356562653	0.0368199174326247
ENSOARG00000016461	101111336	SPSB3	splA/ryanodine receptor domain and SOCS box containing 3	-0.883912224124311	0.0342656484150426
ENSOARG00000016547	101115511	CALCRL	calcitonin receptor like receptor	1.44336807337681	0.0245884849714854
ENSOARG00000016560		IGFALS	insulin like growth factor binding protein acid labile subunit	-1.5928995554607	0.00984888746240028
ENSOARG00000016637	101106973	DCP1A	decapping mRNA 1A	1.0738378148346	0.0083479982175675
ENSOARG00000016642	101109956	ITGB7	integrin subunit beta 7	-1.21308219508794	0.0247678119052658
ENSOARG00000016678	101121363	SOAT1	sterol O-acyltransferase 1	0.837436567684549	0.040401897013944
ENSOARG00000016696	101117514	PYCR3	pyrroline-5-carboxylate reductase 3	-0.930676381643434	0.0419631762517803
ENSOARG00000016724	101108919	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase	1.03027338955104	0.00247903626321053
ENSOARG00000016736	101117733	DUSP19	dual specificity phosphatase 19	1.72803014818549	0.00650171975906392
ENSOARG00000016739	100125613	ROBO1	roundabout guidance receptor 1	1.55378804332393	0.00160731336556225
ENSOARG00000016741	101106405	FAM126B	family with sequence similarity 126 member B	1.27397413220048	0.0061022424121397
ENSOARG00000016745	101113899	MSRB1	methionine sulfoxide reductase B1	-0.835912916347499	0.0463278217142979
ENSOARG00000016762				-1.2968408707539	0.0195115059034159
ENSOARG00000016778	101109360	POLK	DNA polymerase kappa	0.998011303399975	0.0301015550933958
ENSOARG00000016794	101105305	ZMYM3	zinc finger MYM-type containing 3	-0.913746013720367	0.015280686490442
ENSOARG00000016798	101113463	SAT1	spermidine/spermine N1-acetyltransferase 1	1.68741703863271	4.85980122676817e-05
ENSOARG00000016804	101113450	FBXW4	F-box and WD repeat domain containing 4	-1.0847130116705	0.00947299290750232
ENSOARG00000016854		CREM	cAMP responsive element modulator	2.26631312527205	8.84773188796909e-05
ENSOARG00000016918	101110677	F2RL2	coagulation factor II thrombin receptor like 2	1.36461196266672	0.00262018688600167
ENSOARG00000016941				1.08935550355462	0.0238113049455453
ENSOARG00000017000	101102485	TEC	tec protein tyrosine kinase	0.993316758074737	0.00814988132438124
ENSOARG00000017009				-1.25173644470156	0.00623089400867224
ENSOARG00000017028	101113098	DEPDC7	DEP domain containing 7	-1.32770972060626	0.0336196329979601
ENSOARG00000017040				-1.05126699957108	0.0110000689433261
ENSOARG00000017138	101122486	C3orf38	chromosome 1 open reading frame, human C3orf38	1.82075060785933	0.0014104612401097
ENSOARG00000017141	101108549	STRADB	STE20-related kinase adaptor beta	1.34916031515798	0.0303050397416585
ENSOARG00000017155	101108927	APPBP2	amyloid beta precursor protein binding protein 2	1.17420310952816	0.00284673234414927
ENSOARG00000017159	101114433	WASHC4	WASH complex subunit 4	1.14772347876381	0.00135908390516393
ENSOARG00000017186	101116340	TENT4B	terminal nucleotidyltransferase 4B	1.08458398750174	0.00377083233336289
ENSOARG00000017227	101114693	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2	-0.987674335347934	0.0324407526382656
ENSOARG00000017259	101115366	ABHD8	abhydrolase domain containing 8	-1.23986349016343	0.034524526480351
ENSOARG00000017271	101123147	CSTF3	cleavage stimulation factor subunit 3	1.11046245159132	0.00268227604396789
ENSOARG00000017288	101123096	PLEKHA3	pleckstrin homology domain containing A3	0.934378279397778	0.0145079687807553
ENSOARG00000017296	101103312	NUAK1	NUAK family kinase 1	-1.61752531740457	0.0374122833782547
ENSOARG00000017314	101114859	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6	-1.28898462760914	0.00708944690278026
ENSOARG00000017434	101109097	CMYA5	terminal nucleotidyltransferase 2	0.907320957743562	0.0402283399061474
ENSOARG00000017460	101112406	RAC3	Rac family small GTPase 3	-1.01464728264903	0.0495694438125573
ENSOARG00000017485	101123225	NRP1	neuropilin 1	-1.30512300162377	0.00343220435306883
ENSOARG00000017488	100144763		cyclin D1	-1.00677447697285	0.0110019205976599
ENSOARG00000017521	101118185	HBEGF	heparin binding EGF like growth factor	1.47352484654819	0.000345101392673801
ENSOARG00000017583	101113875	SALL1	spalt like transcription factor 1	-1.29475851273793	0.00188913129569696
ENSOARG00000017630	101113931	NR2F6	nuclear receptor subfamily 2 group F member 6	-1.22981796741345	0.00987919723770056
ENSOARG00000017631	101118410	PRKCB	protein kinase C beta	1.66620881476493	0.000253149878663528
ENSOARG00000017632				-1.18283041845686	0.00324704840503013
ENSOARG00000017647				1.08021505360998	0.0173514330374872
ENSOARG00000017649	101110594	CCNG2	cyclin G2	1.90148898006975	0.000434005767053111
ENSOARG00000017651	101106243	LOC101106243	myeloid-associated differentiation marker-like	1.40908692313547	0.00701341120837373
ENSOARG00000017741	101106485	RBBP6	RB binding protein 6, ubiquitin ligase	1.46308601300557	0.00593651515619828
ENSOARG00000017761	101122196	VCPIP1	valosin containing protein interacting protein 1	1.68131226354306	0.00108257035962373
ENSOARG00000017807	101110506	ERAP1	endoplasmic reticulum aminopeptidase 1	0.9086119959581	0.020089295856811
ENSOARG00000017808				0.96036293483733	0.0146424943068573
ENSOARG00000017824	101106244	TP53I3	tumor protein p53 inducible protein 3	-1.12759462804935	0.0101523309142298
ENSOARG00000017856	101106165	MEGF10	multiple EGF like domains 10	-1.19022397419223	0.0201782288857112
ENSOARG00000017861	101107250	MBLAC1	metallo-beta-lactamase domain containing 1	-1.36552939778829	0.00144800288652468
ENSOARG00000017862	101112360	MFSD14A	major facilitator superfamily domain containing 14A	0.89626713882087	0.0166164027641612
ENSOARG00000017883	101104417	RBM38	RNA binding motif protein 38	-1.35563092223611	0.00674105973465538
ENSOARG00000017981				-1.64389449323828	0.0134541740440719
ENSOARG00000018015	101121122	TANGO2	transport and golgi organization 2 homolog	-0.923753619393898	0.0219790373023651
ENSOARG00000018077	101108203	ADCY3	adenylate cyclase 3	-1.12082759149908	0.0061022424121397
ENSOARG00000018123	101119487	SARM1	sterile alpha and TIR motif containing 1	-1.13261829990631	0.0255767268353513
ENSOARG00000018146	101103594	FICD	FIC domain containing	0.945966987123595	0.00844621277264222
ENSOARG00000018162	101117497	PTPN12	protein tyrosine phosphatase, non-receptor type 12	1.32882022501555	8.70108829375623e-05
ENSOARG00000018165	101117755	RAB3D	transmembrane protein 205	-1.01681704978129	0.0147473811714979
ENSOARG00000018282	101119738	SLC46A1	solute carrier family 46 member 1	-1.59538877968869	0.000930778230955596
ENSOARG00000018303	101114226	LOC101114226	vascular cell adhesion protein 1-like	2.80223275806233	0.0144527624349106
ENSOARG00000018306	101119180	ARHGAP17	Rho GTPase activating protein 17	1.05693585855848	0.000873403556129775
ENSOARG00000018321	443040	CTLA4	cytotoxic T-lymphocyte associated protein 4	1.57346060515252	0.011384039201732
ENSOARG00000018340	101103816	C15orf61	chromosome 7 open reading frame, human C15orf61	-1.49321294008792	0.00482420668328504
ENSOARG00000018383	101121528	DHX58	DExH-box helicase 58	1.83234462679283	0.00221834439198358
ENSOARG00000018397	100302550	SLC30A7	solute carrier family 30 member 7	0.986848602810387	0.00705926425428254
ENSOARG00000018420	101109587	LOC101109587	putative protein FAM172B	1.46318541823824	0.018598049881712
ENSOARG00000018463	101109434	KIF3C	kinesin family member 3C	1.063222770535	0.0190756017485117
ENSOARG00000018498		PEX10	peroxisomal biogenesis factor 10	-1.02236391631792	0.0490518200988013
ENSOARG00000018504	101119979	TPK1	thiamin pyrophosphokinase 1	-1.09181172606247	0.0342202585445311
ENSOARG00000018536	101117180	FERMT1	fermitin family member 1	1.41817335880707	0.00434984878790026
ENSOARG00000018551	101105917	ANP32A	acidic nuclear phosphoprotein 32 family member A	-0.947164373732612	0.0490518200988013
ENSOARG00000018623	101109444	ZNF608	zinc finger protein 608	-1.22962774454587	0.00533763874179119
ENSOARG00000018627	101114590	TSC22D3	TSC22 domain family member 3	-0.872519087983858	0.0378313177415226
ENSOARG00000018727	101118358	FAM13A	family with sequence similarity 13 member A	1.14357503514233	0.0351788035620776
ENSOARG00000018765	101107966	LRRC49	leucine rich repeat containing 49	-1.20820604012889	0.0069576271537027
ENSOARG00000018810	101110325	CEP120	centrosomal protein 120	1.04533402421788	0.0120683865105354
ENSOARG00000018832	101109063	IL4R	interleukin 4 receptor	1.20304717593134	0.00388917285020304
ENSOARG00000018887	101102652	ANKFY1	ankyrin repeat and FYVE domain containing 1	0.927467650870154	0.0197388931271346
ENSOARG00000018931	101122619	RSPRY1	ring finger and SPRY domain containing 1	1.33769678022693	0.00585961452525022
ENSOARG00000018943	100036757	CYBB	cytochrome b-245, beta polypeptide	1.05131113743993	0.00324648375656049
ENSOARG00000018946	101122397	STXBP3	syntaxin binding protein 3	1.05997996782994	0.0100231504070827
ENSOARG00000018953		CHIC2	cysteine rich hydrophobic domain 2	1.02464023330684	0.0315055100318379
ENSOARG00000018966	101110416	BBS4	Bardet-Biedl syndrome 4	0.891568450618499	0.0332475939224573
ENSOARG00000018970	101115924	CIP2A	cell proliferation regulating inhibitor of protein phosphatase 2A	1.007592186108	0.0328306977731649
ENSOARG00000019033				2.39505267942135	0.00087413308273578
ENSOARG00000019036	101111635	INSYN1	inhibitory synaptic factor 1	-1.65951907533621	0.00593447314060626
ENSOARG00000019074	101118362	NYNRIN	NYN domain and retroviral integrase containing	-1.0537604230987	0.0420185619455575
ENSOARG00000019095	101123199	CSF2RB	colony stimulating factor 2 receptor beta common subunit	1.86151612897355	8.34165139153519e-06
ENSOARG00000019099	101102669	TRIM34	tripartite motif containing 34	1.17236711599404	0.0322994674141694
ENSOARG00000019146	101114274	TGM1	transglutaminase 1	1.99536294992464	0.0479185432816949
ENSOARG00000019171	101106839	KCTD17	potassium channel tetramerization domain containing 17	-1.01681360851241	0.0256051224272157
ENSOARG00000019172	101115461	MDP1	magnesium dependent phosphatase 1	-0.934620715504099	0.0285321826890229
ENSOARG00000019194	101116402	REC8	REC8 meiotic recombination protein	1.21732694651581	0.00987919723770056
ENSOARG00000019203	101104946	PSMA5	proteasome subunit alpha 5	0.839844585628061	0.0497713769613578
ENSOARG00000019253	101108123	CARD10	caspase recruitment domain family member 10	-1.44496053055458	0.000464268629992165
ENSOARG00000019291		PRR5	proline rich 5	-0.876684619218434	0.0423506658473058
ENSOARG00000019396	101107779	SLC48A1	solute carrier family 48 member 1	-1.00687278402992	0.0231553536876936
ENSOARG00000019446		TNS1	tensin 1	-1.38698939732608	0.000177092861480086
ENSOARG00000019454	101120994	RBKS	ribokinase	-1.04860433184064	0.0195115059034159
ENSOARG00000019463	101112271	CD53	CD53 molecule	0.943146848286945	0.0429167301087222
ENSOARG00000019467	101112523	DRAM2	DNA damage regulated autophagy modulator 2	0.959425806627918	0.0287124351230997
ENSOARG00000019557	101110306	CTDSP1	CTD small phosphatase 1	-0.933946433957163	0.0406452812790871
ENSOARG00000019568	101116530	AGO4	argonaute 4, RISC catalytic component	-1.59186386856915	0.00367139299029332
ENSOARG00000019768	101106222	ADPRH	ADP-ribosylarginine hydrolase	1.39692702335895	0.00533763874179119
ENSOARG00000019920	101115097	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	-0.899499486305988	0.0173514330374872
ENSOARG00000019933	101121133	DCLRE1B	DNA cross-link repair 1B	-1.08097276469064	0.00343220435306883
ENSOARG00000019957	101109136	GTF2E1	general transcription factor IIE subunit 1	1.53828759841868	0.00223079544169692
ENSOARG00000020014	101104494	C15orf41	chromosome 7 open reading frame, human C15orf41	-1.12505550863126	0.0269467190040978
ENSOARG00000020020	100302357	TUBA4A	tubulin alpha 4a	1.81126983343715	0.000209643646344527
ENSOARG00000020032	101116286	LOC101116286	tubulin alpha-1D chain	2.34015675761353	0.00012111355246458
ENSOARG00000020041	101115354	VPS54	VPS54, GARP complex subunit	1.16692231407178	0.00145089199712665
ENSOARG00000020044	101105504	RASGRP1	RAS guanyl releasing protein 1	2.18037123869185	0.000974175513851251
ENSOARG00000020072	101106849	FSIP1	fibrous sheath interacting protein 1	1.38516281403085	0.022702642468137
ENSOARG00000020074	101120909	CPNE8	copine 8	1.35891194688227	0.0211844512967093
ENSOARG00000020078	101111144	EAF2	ELL associated factor 2	1.92031113496843	0.000524725403485507
ENSOARG00000020092	101111847		solute carrier family 15 member 2	3.08397679349269	5.80556026249623e-06
ENSOARG00000020096	101119857	HPCAL4	hippocalcin like 4	-1.44512768894523	0.0151276399904314
ENSOARG00000020102		NHLRC1	NHL repeat containing E3 ubiquitin protein ligase 1	-1.28627505655663	0.0252894017580206
ENSOARG00000020119	101112527	CASR	calcium sensing receptor	2.61452991612652	8.89174661668918e-06
ENSOARG00000020138	101104540	NGF	nerve growth factor	2.43781718944741	0.00489129759163637
ENSOARG00000020150	101114071	PARP9	poly(ADP-ribose) polymerase family member 9	1.81693511248783	0.0013102124320354
ENSOARG00000020153	101119106	DTX3L	deltex E3 ubiquitin ligase 3L	2.28381851757598	8.46497854813088e-05
ENSOARG00000020211	101122772	CNOT2	CCR4-NOT transcription complex subunit 2	1.00442270025415	0.0102303579776359
ENSOARG00000020220	101116528	UMPS	uridine monophosphate synthetase	1.29187445260468	0.00241088720488624
ENSOARG00000020229	101108574	CHST14	carbohydrate sulfotransferase 14	-0.974868805546475	0.0336657347113416
ENSOARG00000020253	101118237	LMLN	leishmanolysin like peptidase	2.08504095794133	0.000757199845719419
ENSOARG00000020264	101110764	RMDN3	regulator of microtubule dynamics 3	2.06555256081556	0.000814755502918573
ENSOARG00000020303		CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4	-1.38936546769496	0.00911707252736427
ENSOARG00000020326	101103276	CTPS1	CTP synthase 1	-1.04889319454479	0.00726629761975012
ENSOARG00000020341	101104226	C3AR1	complement C3a receptor 1	1.94037634258107	2.06303665863583e-05
ENSOARG00000020383	101104112	BDH1	3-hydroxybutyrate dehydrogenase 1	-1.90544709291046	0.000219529333542285
ENSOARG00000020391	101117145	AP1S3	adaptor related protein complex 1 subunit sigma 3	1.07233739378982	0.00522601906334208
ENSOARG00000020394	101102615	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	1.2768232310129	0.021956954003974
ENSOARG00000020413	101122004	SERPINE2	serpin family E member 2	1.24761552046959	0.000252354527020062
ENSOARG00000020414	101121590	LOC101121590	protein SCO2 homolog, mitochondrial	-1.03963774565947	0.0269993653744315
ENSOARG00000020423	101116914	JMJD7	jumonji domain containing 7	-1.20943300905557	0.0385144174557561
ENSOARG00000020482	101112864	PDE4DIP	myomegalin	-0.888140365707821	0.0264647773622798
ENSOARG00000020487	101110557	BCL6	B cell CLL/lymphoma 6	1.08105028984246	0.00563866073512951
ENSOARG00000020506	100913159	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1	-1.50210287279168	0.00279727230246851
ENSOARG00000020534	101114152	TBCCD1	TBCC domain containing 1	-0.929491863425867	0.0155424188243242
ENSOARG00000020535	101117588	SNAP23	synaptosome associated protein 23	2.20190900771737	3.84645501987988e-05
ENSOARG00000020541	101103139	TMEM150A	transmembrane protein 150A	-1.0072083569817	0.0290215366901498
ENSOARG00000020558	101117936		StAR related lipid transfer domain containing 9	-1.32670289331647	0.00507445988104688
ENSOARG00000020579	101119567	UBR1	ubiquitin protein ligase E3 component n-recognin 1	1.1216488216996	0.00880672904424525
ENSOARG00000020583	101104977	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	-0.98451186110353	0.0105975215235026
ENSOARG00000020586	100125625	CLCN2	chloride voltage-gated channel 2	-1.17494219742392	0.00674105973465538
ENSOARG00000020602		NUDT17	nudix hydrolase 17	-0.93679573768817	0.0166356275587931
ENSOARG00000020656		SP100	SP100 nuclear antigen	2.21958294362326	0.00216731436586787
ENSOARG00000020665	101110296	ATP11B	ATPase phospholipid transporting 11B (putative)	1.18545917405697	0.0106179970719867
ENSOARG00000020667	100192431	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)	1.35479124402512	0.0135651131354052
ENSOARG00000020711	101110015	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	1.07245284367753	0.0034776368236249
ENSOARG00000020755	101110062	SNX1	sorting nexin 1	0.833742332711655	0.0303324334575332
ENSOARG00000020761	101115086	TNIK	TRAF2 and NCK interacting kinase	-1.13225648543316	0.0328310746847314
ENSOARG00000020788	101111969	RAB8B	RAB8B, member RAS oncogene family	2.48778865793243	0.000378358847589071
ENSOARG00000020857	101118942	DUSP16	dual specificity phosphatase 16	1.28446342418026	0.00214985912512954
ENSOARG00000020909	101105225	KIAA1522	KIAA1522 ortholog	-1.76489278763414	0.000986497499326773
ENSOARG00000020911		SYNC	syncoilin, intermediate filament protein	-1.50973057365925	0.0194948941764177
ENSOARG00000021061				-1.30077835469194	0.0108482303905321
ENSOARG00000021109	100381249	PSMA3	proteasome subunit alpha 3	0.918071080059784	0.0315223431587928
ENSOARG00000021131	101104405	MNAT1	MNAT1, CDK activating kinase assembly factor	1.02572941240083	0.0183767516913513
ENSOARG00000021136	443519	HIF1A	hypoxia inducible factor 1 subunit alpha	1.01114691238026	0.0473291749514219
ENSOARG00000021144	101107792	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon	1.05474686922265	0.00911707252736427
ENSOARG00000021145	101108492	SGPP1	sphingosine-1-phosphate phosphatase 1	1.1337295981015	0.0160801279108873
ENSOARG00000021187	101119480	SUSD6	sushi domain containing 6	1.15151681108157	0.0027837346656462
ENSOARG00000021197	101103160	MAP3K9	mitogen-activated protein kinase kinase kinase 9	1.01007359507122	0.00888524726762421
ENSOARG00000021199	101122281	SIPA1L1	signal induced proliferation associated 1 like 1	-0.972558053052186	0.0076749395864681
