ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.vs.Ctrl.micro.logFC	LPS100.vs.Ctrl.micro.p.value
ENSOARG00000013842	101104326	SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	-0.811209487834889	0.0360287051936576
ENSOARG00000013873		RGS20	regulator of G protein signaling 20	-2.5684542666673	0.000656520179902131
ENSOARG00000013919	101108783	NEK10	NIMA related kinase 10	2.05269289567694	0.00110828867592463
ENSOARG00000013925	101110631	GNG5	G protein subunit gamma 5	1.36996851517558	0.047515117050614
ENSOARG00000013937	101118708	CRYL1	crystallin lambda 1	-1.72779542116862	0.00820575582947163
ENSOARG00000013945	101105952	BAG5	BCL2 associated athanogene 5	0.807425632273826	0.029642294022295
ENSOARG00000013961	101118575	SGMS1	sphingomyelin synthase 1	1.58625480495219	0.0251604360885587
ENSOARG00000013963	101121659	TTC39B	tetratricopeptide repeat domain 39B	2.52668390522753	0.00431787520609269
ENSOARG00000014002	100233239	PSIP1	PC4 and SFRS1 interacting protein 1	-0.924618863764904	0.048438483991381
ENSOARG00000014007	101103318	JADE2	jade family PHD finger 2	1.31525042995466	0.00466722052502652
ENSOARG00000014009		DUSP2	dual specificity phosphatase 2	1.38451804827574	0.0283610161727413
ENSOARG00000014039	101115457	COL5A3	collagen type V alpha 3 chain	1.47816261375473	0.0034295150789522
ENSOARG00000014045	101107399	POLA2	DNA polymerase alpha 2, accessory subunit	1.37162782934319	0.0249187025378946
ENSOARG00000014073	443498	EDN1	endothelin 1	4.63876907082757	0.0061746873671795
ENSOARG00000014124	101117715	PTPRE	protein tyrosine phosphatase, receptor type E	1.30071951853766	0.0100556263086614
ENSOARG00000014144	101121802	CMBL	carboxymethylenebutenolidase homolog	-1.27334296732922	0.0159870784199454
ENSOARG00000014149	101122801	TNFSF12	TNF superfamily member 12	-0.920304397468207	0.0431233081710675
ENSOARG00000014199	100125354	PLIN2	perilipin 2	-1.07980674484521	0.0311367139391548
ENSOARG00000014216	101114605	MYO1G	myosin IG	2.41052933134882	0.0151008964201358
ENSOARG00000014253	100820755	SLC7A11	solute carrier family 7 member 11	2.24525880076385	0.00223435536831737
ENSOARG00000014270	101111012	CLEC5A	C-type lectin domain containing 5A	-1.35997722338197	0.0312876295474112
ENSOARG00000014308	101122627	FAM173B	family with sequence similarity 173 member B	-1.13819229731763	0.0496859152168616
ENSOARG00000014325	101116695	VPS26C	VPS26 endosomal protein sorting factor C	-1.45125160874692	0.0402535540325478
ENSOARG00000014343	101117680	SMYD4	SET and MYND domain containing 4	-1.43686310916564	0.0472793764566002
ENSOARG00000014346	101102210	HACD4	3-hydroxyacyl-CoA dehydratase 4	-1.56843970651021	0.012891642174458
ENSOARG00000014347	101106288	H1FX	histone H1x	-1.83416527911613	0.00536382871572475
ENSOARG00000014356	101115835	HIVEP1	human immunodeficiency virus type I enhancer binding protein 1	2.23928171395751	0.00322058183709872
ENSOARG00000014370	101119429	SMCO4	chromosome 21 open reading frame, human C11orf75	-1.57516509047948	0.00288131082618205
ENSOARG00000014479	100302100	RPA1	replication protein A1, 70kDa	-1.82140741453947	0.00405324607599056
ENSOARG00000014492	101111482		VPS9 domain containing 1	1.30831594040066	0.0171740306484172
ENSOARG00000014545	101110029	IFT74	intraflagellar transport 74	-0.911236161062504	0.0459019633839285
ENSOARG00000014562	101106643		marker of proliferation Ki-67	1.62828078995419	0.0344958380840483
ENSOARG00000014638	101119536	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	-1.00519950465128	0.0173159660111738
ENSOARG00000014653	101118123	NFS1	NFS1, cysteine desulfurase	-0.884169607050834	0.0394152561618576
ENSOARG00000014690	101115522	ID2	inhibitor of DNA binding 2	2.18922700610854	0.00850927489717833
ENSOARG00000014719	101105448	TMEM14A	transmembrane protein 14A	-0.920034612442765	0.0383153464003287
ENSOARG00000014726	494191	TGFBR2	transforming growth factor beta receptor 2	-1.80513321539826	0.0250817520496905
ENSOARG00000014740	101120789	STAMBPL1	STAM binding protein like 1	1.16698346922828	0.0147344980027829
ENSOARG00000014808		OVCA2	OVCA2, serine hydrolase domain containing	-0.895696830982498	0.037271527206761
ENSOARG00000014810	101109721	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	0.97581993489566	0.0461249681060453
ENSOARG00000014843				2.61428338130624	0.0071869201326047
ENSOARG00000014856				2.47617996437582	0.0191502686850435
ENSOARG00000014858	101114676	PBK	PDZ binding kinase	-1.69502119642923	0.0195357066173334
ENSOARG00000014875				0.992021706202165	0.0254379438474989
ENSOARG00000014892	101108007		chromosome 22 open reading frame, human C10orf12	1.08467361559927	0.0483759495194066
ENSOARG00000014900	101107406	CCDC154	coiled-coil domain containing 154	1.45113549316728	0.0283610161727413
ENSOARG00000014907	101117803	HS2ST1	heparan sulfate 2-O-sulfotransferase 1	1.8500821518615	0.0300794703025746
ENSOARG00000014916	101123618	CSRP2	cysteine and glycine rich protein 2	1.92610408284375	0.0474400945664282
ENSOARG00000014970	101108764	FAM20A	FAM20A, golgi associated secretory pathway pseudokinase	-1.73392406645359	0.00655454609701399
ENSOARG00000014989				-1.23831637039435	0.0224057750787594
ENSOARG00000015000				2.32514167369058	0.0360287051936576
ENSOARG00000015007	100145883	ARL1	ADP ribosylation factor like GTPase 1	0.935409478357196	0.0440310545519055
ENSOARG00000015031		SH3BP5	SH3 domain binding protein 5	1.05425506977912	0.0311611590678467
ENSOARG00000015063	101104187	MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1	0.968213156014075	0.0431233081710675
ENSOARG00000015071				2.17737305805459	0.0297638942131425
ENSOARG00000015076	101117944	SMG6	SMG6, nonsense mediated mRNA decay factor	-1.02940114864419	0.0489783462422961
ENSOARG00000015081	101106006	TGFBI	transforming growth factor beta induced	-1.54666868529877	0.00782720451942678
ENSOARG00000015083	101107232	GSTA4	glutathione S-transferase A4	-1.81532672437526	0.0121484885701397
ENSOARG00000015106				-1.24469264353743	0.0114365167537017
ENSOARG00000015129	101120809		UTP14A, small subunit processome component	-0.822112603417535	0.0450603128142909
ENSOARG00000015151	101104940	ZFAND3	zinc finger AN1-type containing 3	0.808587432678133	0.0355545484735434
ENSOARG00000015156				-1.72237020134357	0.0394337745315111
ENSOARG00000015185	101109286	ARSG	arylsulfatase G	-1.0495672409267	0.0103809572045913
ENSOARG00000015231	101120330	GUF1	GUF1 homolog, GTPase	-1.25191607269959	0.0335714316189625
ENSOARG00000015237	101118667	NEIL2	nei like DNA glycosylase 2	-1.17489732186799	0.011611393500061
ENSOARG00000015243		IMPAD1	inositol monophosphatase domain containing 1	1.41104053051199	0.013771748354274
ENSOARG00000015263	780470	CTSB	Ovis aries cathepsin B (CTSB), mRNA.	-1.03131682924967	0.048809929846626
ENSOARG00000015267	101115652	MCAM	melanoma cell adhesion molecule	1.97612613209679	0.0095303030040072
ENSOARG00000015318	101117637	P2RY14	purinergic receptor P2Y14	2.69123209611122	0.00539849826779303
ENSOARG00000015394	101123553	P4HA2	prolyl 4-hydroxylase subunit alpha 2	1.30107782186519	0.0327328042616897
ENSOARG00000015412	101107206	C17orf58	chromosome 11 open reading frame, human C17orf58	-1.2149764492889	0.00834055075001223
ENSOARG00000015416	101123131	PIBF1	progesterone immunomodulatory binding factor 1	-1.12848134538582	0.027865369252043
ENSOARG00000015444	101118446	SSBP2	single stranded DNA binding protein 2	-1.97685184102795	0.0150497106189431
ENSOARG00000015505	101123641	KLF5	Kruppel like factor 5	3.12228951550976	0.0157289726481299
ENSOARG00000015552		PAX2	paired box 2	-2.62166619710433	0.0448516870995859
ENSOARG00000015558	101114748	TBC1D5	TBC1 domain family member 5	-0.796189078108464	0.0490942234857917
ENSOARG00000015569	101122413	PALLD	palladin	-1.30145696587294	0.0357216069196577
ENSOARG00000015578	101121640	LRRC8C	leucine rich repeat containing 8 VRAC subunit C	2.76317511737396	0.00107965712820133
ENSOARG00000015582	101123311	TBC1D4	TBC1 domain family member 4	1.66305400242761	0.0204009325700307
ENSOARG00000015588	101103310	ATP6V1C2	ATPase H+ transporting V1 subunit C2	2.7728372028938	0.013753219241134
ENSOARG00000015632	100294605	VCAN	versican	3.99680691966233	0.00992112988512799
ENSOARG00000015665	101109094	MAD2L1	mitotic arrest deficient 2 like 1	-1.25258808514311	0.0331551552174889
ENSOARG00000015666		TLNRD1	talin rod domain containing 1	1.06038864421179	0.0215615588469596
ENSOARG00000015686	101110074	PRKCA	protein kinase C alpha	-1.68400887644431	0.0220323810399354
ENSOARG00000015738	101112223	ADH5	alcohol dehydrogenase class-3	-1.24267982085008	0.00539724933896254
ENSOARG00000015860				2.82289932813473	0.000639651410610223
ENSOARG00000015876	101105858	IL17RB	interleukin 17 receptor B	-2.19167912936369	0.0138715825420231
ENSOARG00000015940	101116038	TMCC3	transmembrane and coiled-coil domain family 3	1.21129610705064	0.0150027869964368
ENSOARG00000015956	101119247	DNAJC24	DnaJ heat shock protein family (Hsp40) member C24	1.02794233976053	0.0365310806195
ENSOARG00000015976	101106156	SUN2	Sad1 and UNC84 domain containing 2	-1.26479131136696	0.0397091252185146
ENSOARG00000015982	101109612	CDC23	cell division cycle 23	-1.00224330054902	0.0449897381226768
ENSOARG00000016040	101103687	HECTD2	HECT domain E3 ubiquitin protein ligase 2	1.84082541447364	0.00824782525300008
ENSOARG00000016055	101114719	PRELID3B	PRELI domain containing 3B	0.828197891960029	0.0460812492627913
ENSOARG00000016064	101112980	TSPAN5	tetraspanin 5	2.51236483294017	0.00383897422620489
ENSOARG00000016092	101114107	COLGALT1	procollagen galactosyltransferase 1	-1.07478512281573	0.0164306467577852
ENSOARG00000016108	101112180	LZTS2	leucine zipper tumor suppressor 2	-1.46064084229423	0.00264109918560457
ENSOARG00000016137				-0.73277459772699	0.0496859152168616
ENSOARG00000016168	101121332	TRIB2	tribbles pseudokinase 2	1.54783813358661	0.0131033526454444
ENSOARG00000016224	101123512	PPP1R3C	protein phosphatase 1 regulatory subunit 3C	1.69949208016476	0.0343475004355373
ENSOARG00000016338		HS3ST2	heparan sulfate-glucosamine 3-sulfotransferase 2	-1.49601666465356	0.00752526115323431
ENSOARG00000016380	101122936	CALCOCO1	calcium binding and coiled-coil domain 1	-1.27146471965176	0.015817333166872
ENSOARG00000016398	101112769	ZNRD1	zinc ribbon domain containing 1	1.57048407855009	0.0122125069341759
ENSOARG00000016412	443545	PDGFB	platelet derived growth factor subunit B	1.7463303371209	0.0430274928159996
ENSOARG00000016422	101117131	EVI5	ecotropic viral integration site 5	1.48383524118731	0.00548681981169819
ENSOARG00000016424		CELSR3	cadherin EGF LAG seven-pass G-type receptor 3	1.69384001580164	0.032026804902121
ENSOARG00000016471	101122507	FAM49A	family with sequence similarity 49 member A	2.02604851177164	0.000496291609910182
ENSOARG00000016480	101102734	LVRN	laeverin	4.46687022913301	0.00145683651221688
ENSOARG00000016502	101120749	ADGRV1	adhesion G protein-coupled receptor V1	3.17450887607183	0.000762418311967971
ENSOARG00000016505	443434	CPT1A	carnitine palmitoyltransferase 1A	-1.830099865697	0.0455066131846141
ENSOARG00000016513				1.72371772731263	0.0123558549210275
ENSOARG00000016516	101109892	CYBC1	chromosome 11 open reading frame, human C17orf62	-1.12000886710725	0.0211043118978949
ENSOARG00000016584	101116019	FAM171B	family with sequence similarity 171 member B	3.62678558774202	0.0475789094342038
ENSOARG00000016586				2.81859513098473	0.0221119960243994
ENSOARG00000016602	101103785	NLGN3	neuroligin 3	1.71501939705351	0.0363548839471655
ENSOARG00000016607	443143	ITGAV	integrin subunit alpha V	2.39596609958622	0.00495013048312465
ENSOARG00000016737	101110224	TNS2	tensin 2	-1.46208370981819	0.0344958380840483
ENSOARG00000016753	101108670	BCAS3	BCAS3, microtubule associated cell migration factor	-1.11408000637262	0.0493635253341689
ENSOARG00000016772	101119254	SLC15A4	solute carrier family 15 member 4	1.35925397261033	0.0215099415425377
ENSOARG00000016773	101108117	KRT18	keratin 18	2.62661308070104	0.0456892812442859
ENSOARG00000016775	100216465	ATF4	activating transcription factor 4	1.64824261934849	0.0104495119531471
ENSOARG00000016893	101122625	QSER1	glutamine and serine rich 1	1.68711689006808	0.0388273197611594
ENSOARG00000016948	101105971	MEPCE	methylphosphate capping enzyme	-1.09707023148002	0.00557849954369111
ENSOARG00000017123	101115115	LOC101115115	platelet glycoprotein 4	-1.55922774653509	0.0425661424694994
ENSOARG00000017131	101104073	KLF10	Kruppel like factor 10	-1.73513000445636	0.0414161343562165
ENSOARG00000017176	101106035	TCTN1	tectonic family member 1	1.0453292942157	0.0307863697797333
ENSOARG00000017206	101110287	CFAP46	cilia- and flagella-associated protein 46	-0.9795996911363	0.0458079237361482
ENSOARG00000017207	101111202	GPR18	G protein-coupled receptor 18	-1.89772467556226	0.00609718926552777
ENSOARG00000017214	101113222	NR4A1	nuclear receptor subfamily 4 group A member 1	3.67649997344981	0.000623552188592267
ENSOARG00000017218	101105207	PALB2	partner and localizer of BRCA2	-1.34934382511393	0.00368573298737974
ENSOARG00000017242	101114095	ACVRL1	activin A receptor like type 1	1.98852808456477	0.00197609632406038
ENSOARG00000017246		SLC25A1	solute carrier family 25 member 1	-0.925122608944374	0.029196222019448
ENSOARG00000017253	101113483	ANKRD33	ankyrin repeat domain 33	1.49677851055352	0.0252676652821184
ENSOARG00000017321	101102289	PRKRA	protein activator of interferon induced protein kinase EIF2AK2	-1.31905326116255	0.0269874848554461
ENSOARG00000017328	101118918	F3	coagulation factor III, tissue factor	4.06001101288901	0.00483040683976542
ENSOARG00000017337	101123516	ARL13B	ADP ribosylation factor like GTPase 13B	1.53513159602646	0.036143136821589
ENSOARG00000017355		SMAGP	small cell adhesion glycoprotein	1.37193602971422	0.0179293925101005
ENSOARG00000017404	101122958	TAX1BP3	Tax1 binding protein 3	-1.01880579786493	0.0152877649241996
ENSOARG00000017409	101107035		dicarbonyl and L-xylulose reductase	-0.919978094292092	0.0277433074850264
ENSOARG00000017456	101116975		natural resistance-associated macrophage protein 2-like	2.06706906982405	0.000623552188592267
ENSOARG00000017475	443524	INHBA	inhibin subunit beta A	3.62331158371466	0.0115533883691929
ENSOARG00000017493	101106774	SEPT11	septin 11	1.9699581125093	0.00960619638494748
ENSOARG00000017503	101106284	PPP1CC	protein phosphatase 1 catalytic subunit gamma	1.27835877161803	0.0289381376911027
ENSOARG00000017517	101109361	SERINC5	serine incorporator 5	1.58559357202949	0.012117708571093
ENSOARG00000017533				1.30849891344971	0.00941148165565574
ENSOARG00000017560	101117848	FLRT2	fibronectin leucine rich transmembrane protein 2	1.37886656699854	0.0235054989031825
ENSOARG00000017578	101109840	SNX7	sorting nexin 7	-1.09564368524206	0.0282310051071945
ENSOARG00000017608	101121480	D2HGDH	D-2-hydroxyglutarate dehydrogenase	-0.950355523514219	0.0203799854896557
ENSOARG00000017609				-1.27408219364303	0.0425889406460702
ENSOARG00000017682	101108455	RTL5	retrotransposon Gag like 5	-1.21200879233869	0.013753219241134
ENSOARG00000017694	101106127	CLDND1	claudin domain containing 1	1.82539385973939	0.0360287051936576
ENSOARG00000017774	101111821	PYCR2	pyrroline-5-carboxylate reductase 2	-0.738276929454486	0.0474400945664282
ENSOARG00000017782	101113422	MAFG	MAF bZIP transcription factor G	1.17291547330866	0.043197203389409
ENSOARG00000017793	101113906	IRF2BP2	interferon regulatory factor 2 binding protein 2	-1.16663814911698	0.0124839644366663
ENSOARG00000017820	101107511	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	1.16930628150411	0.0373752016473937
ENSOARG00000017827	101102439	AP5B1	adaptor related protein complex 5 subunit beta 1	-1.55708096509794	0.005079746871542
ENSOARG00000017853	101114547	AKTIP	AKT interacting protein	-0.963174298300688	0.0237670308784932
ENSOARG00000017890	101103558	BTBD11	BTB domain containing 11	1.79819854079957	0.0109020180577446
ENSOARG00000017900	101103661	TMEM9	transmembrane protein 9	-1.14126123935679	0.0151008964201358
ENSOARG00000017903	101111164	TMEM164	transmembrane protein 164	1.23147146442391	0.0127743669606528
ENSOARG00000017949	101122613	CEP350	centrosomal protein 350	1.42931882023413	0.00405324607599056
ENSOARG00000017953	101111419	ZSCAN21	zinc finger with KRAB and SCAN domains 1	-1.46333477436039	0.00636310054809503
ENSOARG00000017960	101111306	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	-1.06970536003497	0.00543737594890184
ENSOARG00000018064	101105283	SH2B3	SH2B adaptor protein 3	1.79379985518599	0.0216218731768497
ENSOARG00000018118	101103814	OCIAD2	OCIA domain containing 2	-1.09728865672524	0.029709189625267
ENSOARG00000018167	101120682	MGME1	mitochondrial genome maintenance exonuclease 1	-1.73162788388874	0.0114006633180434
ENSOARG00000018170	101113989	ABCB7	ATP binding cassette subfamily B member 7	0.851252702259702	0.0346249321180226
ENSOARG00000018226		RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	1.64136535953405	0.010972885681002
ENSOARG00000018255	101112055		family with sequence similarity 174 member A	0.928638415901347	0.0373752016473937
ENSOARG00000018283	100170111	CYP3A24	cytochrome P450 CYP3A24	5.56856973085052	0.00349949941032692
ENSOARG00000018310	101110073	MAPK7	mitogen-activated protein kinase 7	1.237507897795	0.0210880345727339
ENSOARG00000018316	101119722	TMCO6	transmembrane and coiled-coil domains 6	-0.9330994373318	0.0183044013978064
ENSOARG00000018349	101116379	ATP7A	ATPase copper transporting alpha	1.73912193711368	0.0210880345727339
ENSOARG00000018388	101118468	BBS2	Bardet-Biedl syndrome 2	-1.29223423732107	0.00819747748410182
ENSOARG00000018392	101111872	DESI1	desumoylating isopeptidase 1	1.38990126800918	0.0194205963491882
ENSOARG00000018396	101115654	SCARB1	scavenger receptor class B member 1	-1.71781559004466	0.00444184681976002
ENSOARG00000018401	101122937	FMNL3	formin like 3	1.45071775803687	0.0150777995412761
ENSOARG00000018418	101120240	DND1	DND microRNA-mediated repression inhibitor 1	1.06048643013861	0.0426111876469302
ENSOARG00000018432	101120652	TOM1	target of myb1 membrane trafficking protein	-1.04162034600313	0.00640327832282898
ENSOARG00000018439				-1.06437292735828	0.0267626292726515
ENSOARG00000018475		HMOX1	heme oxygenase 1	-2.65433585386421	0.000234425616001688
ENSOARG00000018495	101115188	INO80D	INO80 complex subunit D	1.52532152072608	0.0349402002665921
ENSOARG00000018507	101109465	DHRS11	dehydrogenase/reductase 11	-0.886623506386291	0.0363810055523123
ENSOARG00000018523	101109985	KAT2A	lysine acetyltransferase 2A	-0.998566986014999	0.0226188985365298
ENSOARG00000018527	101104055	MCM5	minichromosome maintenance complex component 5	-1.15742278472296	0.0107691177842505
ENSOARG00000018566	100307035	CAT	catalase	-1.40664482673867	0.00512355347639986
ENSOARG00000018572	100144761	CDK6	cyclin dependent kinase 6	3.9254213038971	0.000307820476718314
ENSOARG00000018580	101103973	AASS	aminoadipate-semialdehyde synthase	1.59121822726446	0.0171310731044381
ENSOARG00000018590	101114170	MID2	midline 2	2.2630571207782	0.000385823061146404
ENSOARG00000018693		CSRP1	cysteine and glycine rich protein 1	-1.20061099433483	0.00694418210565022
ENSOARG00000018751	101108800	KDM8	lysine demethylase 8	1.61058419322883	0.00512355347639986
ENSOARG00000018757	101102999	GLUL	glutamate-ammonia ligase	-3.05443422643398	0.00156585271151468
ENSOARG00000018775	101114404	CBLB	Cbl proto-oncogene B	1.85520835152259	0.0236205897894909
ENSOARG00000018779	101108537	TRAF3IP1	TRAF3 interacting protein 1	0.913156542217088	0.0233266780378607
ENSOARG00000018794		CYB5D2	cytochrome b5 domain containing 2	-0.926297290927881	0.0284510395472457
ENSOARG00000018841				1.37966902557934	0.0285167669266243
ENSOARG00000018845	100145858	NAGA	alpha-N-acetylgalactosaminidase	-0.840490435148156	0.0345432369340112
ENSOARG00000018855	101105501	LNX1	ligand of numb-protein X 1	2.88032674492037	0.00425697839760765
ENSOARG00000018877	101115544	GRAMD2A	GRAM domain containing 2A	3.14426929895323	0.00182634598721639
ENSOARG00000018894	100820753	IL21R	interleukin 21 receptor	3.27186656073478	0.00189352933612317
ENSOARG00000018923	101106200	PAMR1	peptidase domain containing associated with muscle regeneration 1	-1.21339529896553	0.0426843881035634
ENSOARG00000018937	101112917	NAV1	neuron navigator 1	-1.20999225869616	0.0385875052513236
ENSOARG00000018964	101122961	STAT5B	signal transducer and activator of transcription 5B	1.51754621662264	0.00249515302011569
ENSOARG00000018968	101107787	WDR36	WD repeat domain 36	1.33157369195178	0.0218316823344509
ENSOARG00000018980	443257	IDH1	isocitrate dehydrogenase (NADP(+)) 1, cytosolic	-1.43662028590391	0.0311611590678467
ENSOARG00000018981	101122644	GPSM2	G protein signaling modulator 2	1.97719597839595	0.0175841205278068
ENSOARG00000019012	101121699	SRXN1	sulfiredoxin 1	-1.72611152752164	0.00839089395530833
ENSOARG00000019041	101117366	GRK3	G protein-coupled receptor kinase 3	1.14176952452182	0.0354238655816996
ENSOARG00000019050	101122939	NCF4	neutrophil cytosolic factor 4	1.13224714084082	0.0499922986515636
ENSOARG00000019051	101112484	SDR39U1	short chain dehydrogenase/reductase family 39U member 1	-1.0612702137955	0.0385875052513236
ENSOARG00000019132	101111683	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	-1.67454545361463	0.0340793948546665
ENSOARG00000019160	101114524	GMPR2	guanosine monophosphate reductase 2	-1.02234416455763	0.0191707016685351
ENSOARG00000019265	101118176	PARVB	parvin beta	1.90622316070923	0.0124839644366663
ENSOARG00000019287	101117487	SNX17	sorting nexin 17	-0.791908145105854	0.0304418451164662
ENSOARG00000019300	443489	PFKM	phosphofructokinase, muscle	-1.43948008814684	0.0358013139378506
ENSOARG00000019323	101118939	NUP50	nucleoporin 50	0.968462367593185	0.0271144582550478
ENSOARG00000019332	101122067	CCDC80	coiled-coil domain containing 80	1.95931626404073	0.0233925556557684
ENSOARG00000019338	101118681	IFT172	intraflagellar transport 172	-1.10822586827078	0.0314374781172814
ENSOARG00000019346	101108896	MREG	melanoregulin	-1.35564568945399	0.0280496192215356
ENSOARG00000019350	101106744	PECR	peroxisomal trans-2-enoyl-CoA reductase	-1.18155989024195	0.00876377507379329
ENSOARG00000019365	101106119	ZSCAN20	zinc finger and SCAN domain containing 20	1.19605104163934	0.0342364199654927
ENSOARG00000019366	101107255	XRCC5	X-ray repair cross complementing 5	-0.970178585719719	0.027480709920019
ENSOARG00000019420	101109264	ATXN10	ataxin 10	-1.32124823891392	0.00528793228888001
ENSOARG00000019441	100158235	RHOB	ras homolog family member B	1.68650618798365	0.0154508756263197
ENSOARG00000019444	101109436	DENND5B	DENN domain containing 5B	1.61759340390541	0.0169964151909877
ENSOARG00000019455	101110583		G2 and S-phase expressed 1	-2.61507939935172	0.00661270279001866
ENSOARG00000019508	101112470	SLC38A1	solute carrier family 38 member 1	1.4163133935785	0.0155012928320394
ENSOARG00000019512	101113024	DENND2D	DENN domain containing 2D	-2.01738075134777	0.0167020353861572
ENSOARG00000019627	101111344	PLCD4	phospholipase C delta 4	-1.57901502120465	0.0124607973943547
ENSOARG00000019645	101114508	TMEM117	transmembrane protein 117	-1.1501970698716	0.0360939837302087
ENSOARG00000019706	101110763	NDRG2	NDRG family member 2	-1.09939234180899	0.00807614802989625
ENSOARG00000019724	101105459	TMEM39A	transmembrane protein 39A	1.28315545058133	0.0112094230271819
ENSOARG00000019749	101107494	PPM1J	ras homolog family member C	1.84633078004272	0.0193012980088064
ENSOARG00000019823	101116643	GFPT1	glutamine--fructose-6-phosphate transaminase 1	1.1360952025434	0.012586168561866
ENSOARG00000019836	101112796	CNPPD1	cyclin Pas1/PHO80 domain containing 1	-0.774100086354417	0.0346249321180226
ENSOARG00000019852	101112801	INTS13	integrator complex subunit 13	-0.855174626463377	0.0305634138046121
ENSOARG00000019867	101114421	RETREG2	reticulophagy regulator family member 2	-1.39019194427571	0.00539724933896254
ENSOARG00000019915				1.52198353268032	0.0300649126726552
ENSOARG00000020027	101102438	NRAS	NRAS proto-oncogene, GTPase	1.42905074753591	0.0164306467577852
ENSOARG00000020051	101116542	DNAJB2	DnaJ heat shock protein family (Hsp40) member B2	-1.23985715004768	0.00405324607599056
ENSOARG00000020063	101109397	HIST1H1D	histone H1.3	-2.22509393215483	0.0150051991162785
ENSOARG00000020107		SMIM13	small integral membrane protein 13	1.82567344570246	0.0233810660056225
ENSOARG00000020116	101108051	BMF	Bcl2 modifying factor	1.41356665318956	0.00524828255686225
ENSOARG00000020164	101114835	HSPBAP1	HSPB1 associated protein 1	-1.08293748669635	0.0415384992360263
ENSOARG00000020167	101119362	DIRC2	disrupted in renal carcinoma 2	-1.07839639993116	0.0268649981056682
ENSOARG00000020198	100620050	KCNMB4	potassium calcium-activated channel subfamily M regulatory beta subunit 4	1.68024764415144	0.0112984965748548
ENSOARG00000020225	101117577	ABCC9	ATP binding cassette subfamily C member 9	5.37820443789938	0.00254274169960141
ENSOARG00000020238	101110899	IGSF3	immunoglobulin superfamily member 3	2.91506510484319	0.00502670489762417
ENSOARG00000020265		EXO5	exonuclease 5	-1.17803374033193	0.0403156448101239
ENSOARG00000020312		CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1	2.32109599911265	0.00982151344232869
ENSOARG00000020378	101101858	HIVEP3	human immunodeficiency virus type I enhancer binding protein 3	1.36528825819408	0.00711179317470259
ENSOARG00000020462	101108354	IL1RAP	interleukin 1 receptor accessory protein	1.2634507946103	0.0443875733445576
ENSOARG00000020465	101106376	SVBP	small vasohibin binding protein	-1.16982130669466	0.0298786146773567
ENSOARG00000020472	780473	CLDN1	claudin 1	1.84832993000759	0.0106310562230134
ENSOARG00000020516	101102380	MAT2A	methionine adenosyltransferase 2A	-1.79323883864646	0.00520931335153727
ENSOARG00000020582	101103462	MGST1	microsomal glutathione S-transferase 1	-0.85012385567325	0.0345350426374005
ENSOARG00000020613	101120247	KLHDC2	kelch domain containing 2	-0.93990031847973	0.0344609842399344
ENSOARG00000020615	101122320	AP2M1	adaptor related protein complex 2 subunit mu 1	-0.846065090619284	0.0374399885192706
ENSOARG00000020651	101104734	PTPRO	protein tyrosine phosphatase, receptor type O	2.13739709924783	0.00119140025463888
ENSOARG00000020662	101103689	DCUN1D1	defective in cullin neddylation 1 domain containing 1	1.2718662005322	0.0305298801249727
ENSOARG00000020698	101106069	ARHGDIB	Rho GDP dissociation inhibitor beta	-1.06097060739184	0.0180716824862764
ENSOARG00000020702	101106689	GNG2	uncharacterized LOC101106689	2.24913384942284	0.00485384790416163
ENSOARG00000020724	101106925	MGP	matrix Gla protein	1.40287624779236	0.0226188985365298
ENSOARG00000020813	101112983	VPS13C	vacuolar protein sorting 13 homolog C	-1.33735971336487	0.0203204431887614
ENSOARG00000020830	101109953	HEBP1	heme binding protein 1	-1.02273619203156	0.0146000679967948
ENSOARG00000020865	101112719	MANSC1	MANSC domain containing 1	-1.17589281671599	0.00843634569190203
ENSOARG00000020882	101103983	TEX9	testis expressed 9	-1.27610079131038	0.0432833856873202
ENSOARG00000020919	101122777	YBX3	Y-box-binding protein 3	1.23760379639293	0.0472793764566002
ENSOARG00000020933	101102648	FAM214A	family with sequence similarity 214 member A	-1.43663185445746	0.0349140051227279
ENSOARG00000020945	101114681	FAM229A	family with sequence similarity 229 member A	1.63084013763484	0.0276327414603211
ENSOARG00000020991	443276	GABPB1	GA binding protein transcription factor subunit beta 1	1.20203412079304	0.00539724933896254
ENSOARG00000020993	101115920	SELENBP1	selenium binding protein 1	-1.43728169104812	0.00972651487357425
ENSOARG00000021037	101113498	SQOR	sulfide quinone oxidoreductase	1.53051389351573	0.0159359648226401
ENSOARG00000021059	101115280	SORD	sorbitol dehydrogenase	-1.29238497396827	0.00377011616543431
